Config,Problem,M,IGD
IVFSPEA2_V1_DISSIM,WFG2,3,0.18325916896851085
IVFSPEA2_V1_DISSIM,WFG2,3,0.18412744971405504
IVFSPEA2_V1_DISSIM,WFG2,3,0.18106995761067218
IVFSPEA2_V1_DISSIM,WFG2,3,0.1751841388067902
IVFSPEA2_V1_DISSIM,WFG2,3,0.17549637185170325
IVFSPEA2_V1_DISSIM,WFG2,3,0.17207059657381066
IVFSPEA2_V1_DISSIM,WFG2,3,0.17872764412558786
IVFSPEA2_V1_DISSIM,WFG2,3,0.19389296558576222
IVFSPEA2_V1_DISSIM,WFG2,3,0.17674735114502962
IVFSPEA2_V1_DISSIM,WFG2,3,0.1887471648017176
IVFSPEA2_V1_DISSIM,WFG2,3,0.17693226332305007
IVFSPEA2_V1_DISSIM,WFG2,3,0.18020971438170733
IVFSPEA2_V1_DISSIM,WFG2,3,0.17240111406131423
IVFSPEA2_V1_DISSIM,WFG2,3,0.1832757948091598
IVFSPEA2_V1_DISSIM,WFG4,2,0.012731608654748351
IVFSPEA2_V1_DISSIM,WFG4,2,0.012403300135526422
IVFSPEA2_V1_DISSIM,WFG4,2,0.012834201160494467
IVFSPEA2_V1_DISSIM,WFG4,2,0.012766303188638462
IVFSPEA2_V1_DISSIM,WFG4,2,0.01260234653182132
IVFSPEA2_V1_DISSIM,WFG4,2,0.012606982596819746
IVFSPEA2_V1_DISSIM,WFG4,2,0.012795074843196464
IVFSPEA2_V1_DISSIM,WFG4,2,0.012769692204836543
IVFSPEA2_V1_DISSIM,WFG4,2,0.012481486630957234
IVFSPEA2_V1_DISSIM,WFG4,2,0.01271000573213261
IVFSPEA2_V1_DISSIM,WFG4,2,0.01289617822073253
IVFSPEA2_V1_DISSIM,WFG4,2,0.012707610121266779
IVFSPEA2_V1_DISSIM,WFG4,2,0.012716095805322186
IVFSPEA2_V1_DISSIM,WFG4,2,0.012799988594777136
IVFSPEA2_V1_DISSIM,WFG4,2,0.012593261044253144
IVFSPEA2_V1_DISSIM,WFG4,2,0.012873423370709213
IVFSPEA2_V1_DISSIM,WFG4,2,0.012400011883051834
IVFSPEA2_V1_DISSIM,WFG4,2,0.01280679720663073
IVFSPEA2_V1_DISSIM,WFG4,2,0.012527883143765942
IVFSPEA2_V1_DISSIM,WFG4,2,0.012783374496578322
IVFSPEA2_V1_DISSIM,WFG4,2,0.012611311626817265
IVFSPEA2_V1_DISSIM,WFG4,2,0.012742156587568856
IVFSPEA2_V1_DISSIM,WFG4,2,0.012903440133562625
IVFSPEA2_V1_DISSIM,WFG4,2,0.012597929081056438
IVFSPEA2_V1_DISSIM,WFG4,2,0.012787117445542347
IVFSPEA2_V1_DISSIM,WFG4,2,0.013028394324121314
IVFSPEA2_V1_DISSIM,WFG4,2,0.012737417493603525
IVFSPEA2_V1_DISSIM,WFG4,2,0.012660394287384072
IVFSPEA2_V1_DISSIM,WFG4,2,0.012949819271306371
IVFSPEA2_V1_DISSIM,WFG4,2,0.012689673456771532
IVFSPEA2_V1_DISSIM,WFG5,3,0.22039530353759135
IVFSPEA2_V1_DISSIM,WFG5,3,0.2232689972415939
IVFSPEA2_V1_DISSIM,WFG5,3,0.2224104132242665
IVFSPEA2_V1_DISSIM,WFG5,3,0.21937470448875293
IVFSPEA2_V1_DISSIM,WFG5,3,0.2209894500490558
IVFSPEA2_V1_DISSIM,WFG5,3,0.22133382385020128
IVFSPEA2_V1_DISSIM,WFG5,3,0.22363286462177076
IVFSPEA2_V1_DISSIM,WFG5,3,0.21931247624829017
IVFSPEA2_V1_DISSIM,WFG5,3,0.2222006730289592
IVFSPEA2_V1_DISSIM,WFG5,3,0.21862149901036132
IVFSPEA2_V1_DISSIM,WFG5,3,0.2192224610302947
IVFSPEA2_V1_DISSIM,WFG5,3,0.22094638163602523
IVFSPEA2_V1_DISSIM,WFG5,3,0.21904617468860899
IVFSPEA2_V1_DISSIM,WFG5,3,0.22138487100353643
IVFSPEA2_V1_DISSIM,WFG5,3,0.21759652914472077
IVFSPEA2_V1_DISSIM,WFG5,3,0.2204079451618542
IVFSPEA2_V1_DISSIM,WFG5,3,0.22036571697341764
IVFSPEA2_V1_DISSIM,WFG5,3,0.22259596997289313
IVFSPEA2_V1_DISSIM,WFG5,3,0.21862123454670343
IVFSPEA2_V1_DISSIM,WFG5,3,0.22139236384801003
IVFSPEA2_V1_DISSIM,WFG5,3,0.22122611057902106
IVFSPEA2_V1_DISSIM,WFG5,3,0.22060302331591022
IVFSPEA2_V1_DISSIM,WFG5,3,0.22280172897959363
IVFSPEA2_V1_DISSIM,WFG5,3,0.22349604255440195
