Algorithm,Problem,M,Run,IGD,HV
IVFSPEA2_P2_C05,ZDT2,2,300027,0.0038302962873518814,0.445111204218801
IVFSPEA2_P2_C05,ZDT2,2,300028,0.0038202167756636782,0.4450446692381993
IVFSPEA2_P2_C05,ZDT2,2,300029,0.0038824488337316594,0.4449997960405128
IVFSPEA2_P2_C05,ZDT2,2,300030,0.003865703913573546,0.44511129417083645
IVFSPEA2_P2_C05,ZDT2,2,300031,0.003992692448490336,0.444924542797283
IVFSPEA2_P2_C05,ZDT2,2,300032,0.003933046837715455,0.4449033066915406
IVFSPEA2_P2_C05,ZDT2,2,300033,0.003929127137103586,0.4449740956626282
IVFSPEA2_P2_C05,ZDT2,2,300034,0.003896509142812833,0.44494076395689797
IVFSPEA2_P2_C05,ZDT2,2,300035,0.0038359163692132034,0.44502998528589693
IVFSPEA2_P2_C05,ZDT2,2,300036,0.004103805748157356,0.4448573731750325
IVFSPEA2_P2_C05,ZDT2,2,300037,0.0038025065262933294,0.4451231531602034
IVFSPEA2_P2_C05,ZDT2,2,300038,0.003955844453111946,0.4448567796472452
IVFSPEA2_P2_C05,ZDT2,2,300039,0.003879163784168301,0.4449557403907246
IVFSPEA2_P2_C05,ZDT2,2,300040,0.003966103750701589,0.44476045830879035
IVFSPEA2_P2_C05,ZDT2,2,300041,0.003920373733713935,0.44502085467734137
IVFSPEA2_P2_C05,ZDT2,2,300042,0.003883760093972819,0.4450951880855388
IVFSPEA2_P2_C05,ZDT2,2,300043,0.003958437957616972,0.4449981822188642
IVFSPEA2_P2_C05,ZDT2,2,300044,0.003914920983309465,0.4450444257298888
IVFSPEA2_P2_C05,ZDT2,2,300045,0.0038762001488739342,0.4450661294362553
IVFSPEA2_P2_C05,ZDT2,2,300046,0.003852966049928423,0.44503562267798213
IVFSPEA2_P2_C05,ZDT2,2,300047,0.0038642523711594455,0.44498085827293604
IVFSPEA2_P2_C05,ZDT2,2,300048,0.0038103199307247307,0.4451582102832677
IVFSPEA2_P2_C05,ZDT2,2,300049,0.003933175139654223,0.44507388126901265
IVFSPEA2_P2_C05,ZDT2,2,300050,0.003889169571384984,0.44500145713195033
IVFSPEA2_P2_C05,ZDT2,2,300051,0.003871517731824302,0.44503526144755684
IVFSPEA2_P2_C05,ZDT2,2,300052,0.003833179968597026,0.4451115026183282
