Algorithm,Problem,M,Run,IGD
IVFSPEA2ABL1C,DTLZ4,3,13,0.0540243826166198
IVFSPEA2ABL1C,DTLZ4,3,14,0.0544487686677392
IVFSPEA2ABL1C,DTLZ4,3,15,0.0553053656052162
IVFSPEA2ABL1C,DTLZ4,3,16,0.945924926144772
IVFSPEA2ABL1C,DTLZ4,3,17,0.0544912570974956
IVFSPEA2ABL1C,DTLZ4,3,18,0.540836243441736
IVFSPEA2ABL1C,DTLZ4,3,19,0.0549127831580904
IVFSPEA2ABL1C,DTLZ4,3,20,0.0533829737974634
IVFSPEA2ABL1C,DTLZ4,3,21,0.540828869747027
IVFSPEA2ABL1C,DTLZ4,3,22,0.540828062836598
IVFSPEA2ABL1C,DTLZ4,3,23,0.540832239196276
IVFSPEA2ABL1C,DTLZ4,3,24,0.0544080962920812
IVFSPEA2ABL1C,DTLZ4,3,25,0.54083158544304
IVFSPEA2ABL1C,DTLZ4,3,26,0.0552624056448778
IVFSPEA2ABL1C,DTLZ4,3,27,0.540829642346792
IVFSPEA2ABL1C,DTLZ4,3,28,0.0536463614287958
IVFSPEA2ABL1C,DTLZ4,3,29,0.0535759326507492
IVFSPEA2ABL1C,DTLZ4,3,30,0.0532450591207763
IVFSPEA2ABL1C,DTLZ4,3,31,0.0542801920583828
IVFSPEA2ABL1C,DTLZ4,3,32,0.540834789945427
IVFSPEA2ABL1C,DTLZ4,3,33,0.0539705795594909
IVFSPEA2ABL1C,DTLZ4,3,34,0.0544976689737265
IVFSPEA2ABL1C,DTLZ4,3,35,0.055105827956364
IVFSPEA2ABL1C,DTLZ4,3,36,0.0536589449712702
IVFSPEA2ABL1C,DTLZ4,3,37,0.0544953589775189
IVFSPEA2ABL1C,DTLZ4,3,38,0.0545973523981209
IVFSPEA2ABL1C,DTLZ4,3,39,0.0539834178366802
IVFSPEA2ABL1C,DTLZ4,3,40,0.0546554998526877
IVFSPEA2ABL1C,DTLZ4,3,41,0.540841212019515
IVFSPEA2ABL1C,DTLZ4,3,42,0.055117078044659
IVFSPEA2ABL1C,DTLZ4,3,43,0.540823077695854
IVFSPEA2ABL1C,DTLZ4,3,44,0.0535313742670719
IVFSPEA2ABL1C,DTLZ4,3,45,0.0537223566826497
IVFSPEA2ABL1C,DTLZ4,3,46,0.540831781014871
IVFSPEA2ABL1C,DTLZ4,3,47,0.0542783128542802
IVFSPEA2ABL1C,DTLZ4,3,48,0.945924926649942
IVFSPEA2ABL1C,DTLZ4,3,49,0.054419804956873
IVFSPEA2ABL1C,DTLZ4,3,50,0.0547484445986574
IVFSPEA2ABL1C,DTLZ4,3,51,0.05482165759631
IVFSPEA2ABL1C,DTLZ4,3,52,0.540829284913885
IVFSPEA2ABL1C,DTLZ4,3,53,0.540836373653658
IVFSPEA2ABL1C,DTLZ4,3,54,0.0539627952521842
IVFSPEA2ABL1C,DTLZ4,3,55,0.054199564489255
IVFSPEA2ABL1C,DTLZ4,3,56,0.0550979551419701
IVFSPEA2ABL1C,DTLZ4,3,57,0.54083447839355
IVFSPEA2ABL1C,DTLZ4,3,58,0.0545689275974982
IVFSPEA2ABL1C,DTLZ4,3,59,0.945924926418084
IVFSPEA2ABL1C,DTLZ4,3,60,0.0544557553883362
IVFSPEA2ABL4C,DTLZ4,3,1,0.0540421661677806
IVFSPEA2ABL4C,DTLZ4,3,2,0.0537743137614642
IVFSPEA2ABL4C,DTLZ4,3,3,0.0542003403801194
IVFSPEA2ABL4C,DTLZ4,3,4,0.540855773729251
IVFSPEA2ABL4C,DTLZ4,3,5,0.540843701148698
IVFSPEA2ABL4C,DTLZ4,3,6,0.0539060793455555
IVFSPEA2ABL4C,DTLZ4,3,7,0.0545681820114809
IVFSPEA2ABL4C,DTLZ4,3,8,0.0548144364678487
IVFSPEA2ABL4C,DTLZ4,3,9,0.0541144705882152
IVFSPEA2ABL4C,DTLZ4,3,10,0.540838952851846
IVFSPEA2ABL4C,DTLZ4,3,11,0.540833753267296
IVFSPEA2ABL4C,DTLZ4,3,12,0.0536709906806048
IVFSPEA2ABL4C,DTLZ4,3,13,0.54084054927248
IVFSPEA2ABL4C,DTLZ4,3,14,0.540833624970854
IVFSPEA2ABL4C,DTLZ4,3,15,0.0543169811592224
IVFSPEA2ABL4C,DTLZ4,3,16,0.540826432166753
IVFSPEA2ABL4C,DTLZ4,3,17,0.540827142747787
IVFSPEA2ABL4C,DTLZ4,3,18,0.0541643247537127
IVFSPEA2ABL4C,DTLZ4,3,19,0.540827794225057
IVFSPEA2ABL4C,DTLZ4,3,20,0.0542636842692554
IVFSPEA2ABL4C,DTLZ4,3,21,0.945924930088898
IVFSPEA2ABL4C,DTLZ4,3,22,0.0543363259818497
IVFSPEA2ABL4C,DTLZ4,3,23,0.0534758381154432
IVFSPEA2ABL4C,DTLZ4,3,24,0.0537407301916307
IVFSPEA2ABL4C,DTLZ4,3,25,0.053234378255279
IVFSPEA2ABL4C,DTLZ4,3,26,0.0531093450155381
IVFSPEA2ABL4C,DTLZ4,3,27,0.0541223365803258
IVFSPEA2ABL4C,DTLZ4,3,28,0.945924926891705
IVFSPEA2ABL4C,DTLZ4,3,29,0.945924926429016
IVFSPEA2ABL4C,DTLZ4,3,30,0.9459249285519
IVFSPEA2ABL4C,DTLZ4,3,31,0.540837719681973
