Algorithm,Problem,M,D,Run,IGD,SourcePath,HV
IVFSPEA2ABL1C,DTLZ1,3,7,5,0.0202309787172782,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_5.mat,0.842272043073684
IVFSPEA2ABL1C,DTLZ1,3,7,6,0.0200330657278745,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_6.mat,0.84274876426124
IVFSPEA2ABL1C,DTLZ1,3,7,7,0.0201537455891307,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_7.mat,0.842661617247227
IVFSPEA2ABL1C,DTLZ1,3,7,8,0.0201848073092977,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_8.mat,0.842782942052905
IVFSPEA2ABL1C,DTLZ1,3,7,9,0.0199248406577308,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_9.mat,0.842114706630923
IVFSPEA2ABL1C,DTLZ1,3,7,10,0.020231922501722,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_10.mat,0.842486748323678
IVFSPEA2ABL1C,DTLZ1,3,7,11,0.0198870952216261,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_11.mat,0.842493405882987
IVFSPEA2ABL1C,DTLZ1,3,7,12,0.0201849013679778,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_12.mat,0.842310938612244
IVFSPEA2ABL1C,DTLZ1,3,7,13,0.0200513386432677,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_13.mat,0.842778520264917
IVFSPEA2ABL1C,DTLZ1,3,7,14,0.0201461471919147,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_14.mat,0.842850449693858
IVFSPEA2ABL1C,DTLZ1,3,7,15,0.0200352776875485,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_15.mat,0.842837468350253
IVFSPEA2ABL1C,DTLZ1,3,7,16,0.0199343985981352,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_16.mat,0.842606171652846
IVFSPEA2ABL1C,DTLZ1,3,7,17,0.019907299571244,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_17.mat,0.842640717087709
IVFSPEA2ABL1C,DTLZ1,3,7,18,0.0202221640009274,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_18.mat,0.84258125824362
IVFSPEA2ABL1C,DTLZ1,3,7,19,0.0200857930031557,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_19.mat,0.842869341516891
IVFSPEA2ABL1C,DTLZ1,3,7,20,0.0199621596730116,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_20.mat,0.84265126283583
IVFSPEA2ABL1C,DTLZ1,3,7,21,0.0203811213179362,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_21.mat,0.842412243013745
IVFSPEA2ABL1C,DTLZ1,3,7,22,0.0197518205849249,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_22.mat,0.84294799670896
IVFSPEA2ABL1C,DTLZ1,3,7,23,0.0200718409000761,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_23.mat,0.842715612324194
IVFSPEA2ABL1C,DTLZ1,3,7,24,0.0201751111769841,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_24.mat,0.842287794568894
IVFSPEA2ABL1C,DTLZ1,3,7,25,0.0200494211600472,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_25.mat,0.842590714300739
IVFSPEA2ABL1C,DTLZ1,3,7,26,0.0201668137801791,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_26.mat,0.842535370980684
IVFSPEA2ABL1C,DTLZ1,3,7,27,0.0202304267586254,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_27.mat,0.842129435961455
IVFSPEA2ABL1C,DTLZ1,3,7,28,0.0200818072765397,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_28.mat,0.842658462624244
IVFSPEA2ABL1C,DTLZ1,3,7,29,0.0203120588373544,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_29.mat,0.840665103387059
IVFSPEA2ABL1C,DTLZ1,3,7,30,0.0198735713951198,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_30.mat,0.842845470911241
IVFSPEA2ABL1C,DTLZ1,3,7,31,0.0200920125206429,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_31.mat,0.842671932011192
IVFSPEA2ABL1C,DTLZ1,3,7,32,0.0199613768453744,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_32.mat,0.842549462180651
IVFSPEA2ABL1C,DTLZ1,3,7,33,0.0200670768949968,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_33.mat,0.842608467430056
IVFSPEA2ABL1C,DTLZ1,3,7,34,0.0201795564940651,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_34.mat,0.842328208004397
IVFSPEA2ABL1C,DTLZ1,3,7,35,0.020114019705368,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_35.mat,0.842551941055587
IVFSPEA2ABL1C,DTLZ1,3,7,36,0.0200638350337866,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_36.mat,0.842815873890025
IVFSPEA2ABL1C,DTLZ1,3,7,37,0.0200065524338163,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_37.mat,0.842528154609929
IVFSPEA2ABL1C,DTLZ1,3,7,38,0.0199871446272189,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_38.mat,0.842575233560382
IVFSPEA2ABL1C,DTLZ1,3,7,39,0.0200074194184271,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_39.mat,0.842656967815884
IVFSPEA2ABL1C,DTLZ1,3,7,40,0.0197596367690738,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2ABL1C/IVFSPEA2ABL1C_DTLZ1_M3_D7_40.mat,0.842943721690861
