Problema,M,D,ivf_mean,ivf_std,ivf_median,ivf_q25,ivf_q75,spea2_mean,spea2_std,spea2_median,spea2_q25,spea2_q75,ratio_mean,ratio_median,ratio_mean_paired,ratio_std_paired,ratio_median_paired,n_runs
MaF5,M3,D12,18.62885438333333,5.193396253449138,16.356267499999994,15.43374725,24.782476750000004,18.633543266666667,5.29391942916503,21.77925000000001,10.889458999999999,21.89815724999997,0.9997483633001929,0.7510023301996159,1.1150995944509932,0.5606402955156068,1.1006777763141902,60
MaF6,M2,D11,10.563563700000001,0.3329343405163049,10.52105000000001,10.364010000000016,10.714454999999987,7.767992000000001,0.35838228931412486,7.6865514999999975,7.5580210000000045,7.751430749999997,1.3598834422074584,1.3687607505134147,1.3622150932083863,0.06664316769584165,1.3691593344423727,60
MaF6,M3,D12,16.9145711,0.9317095122908244,16.786583500000006,16.27997874999998,17.53589499999999,8.123852466666667,0.13150132207074886,8.1082455,8.041260249999997,8.1880815,2.082087429505018,2.0703102169267082,2.082431049003134,0.1161652454817952,2.0557728862923788,60
MaF7,M2,D21,13.701596883333334,0.40212474275178567,13.647090000000016,13.41206425,13.999786499999994,10.745426833333331,0.3868511552930928,10.605852000000006,10.48928075,10.775619999999998,1.2751095973991171,1.286750937124147,1.2766196988172653,0.056864809647058714,1.2843760753542444,60
MaF7,M3,D22,26.879261966666665,1.0008090434316876,26.92223749999999,26.194855999999977,27.6354545,19.31097465,0.4627268644779045,19.39309949999999,19.27747824999998,19.541085000000006,1.3919163819453653,1.388237991559833,1.3924692018000973,0.055910376977637816,1.3898065567723807,60
WFG1,M2,D11,15.172225599999999,0.3632950933418712,15.176767,14.953823,15.385714750000009,11.651260766666667,0.4487375722359505,11.55388950000001,11.42377750000001,11.771196749999996,1.3021960373083858,1.3135634541078125,1.3041225695755665,0.06000942246845653,1.305833682637167,60
WFG1,M3,D12,22.943679016666668,0.7735263120757743,23.08208799999999,22.394105499999977,23.488020249999977,13.253806966666668,0.2793174394375774,13.226160500000002,13.073283500000006,13.414252499999998,1.7311010394500261,1.745184326169336,1.7319870081813364,0.07204155206723573,1.742097610520308,60
WFG2,M2,D11,9.334797216666667,0.3799694451269812,9.228434500000004,9.092348749999992,9.563024250000005,6.2955708999999995,0.37627097808013393,6.171368499999997,6.085769500000003,6.285233,1.4827562686438283,1.4953627384266566,1.486943545804883,0.09342526806166769,1.4868142285939108,60
WFG2,M3,D12,20.65320968333333,0.7036738253115317,20.54506949999999,20.167031499999972,21.01382075,13.397829266666665,0.16380666577255107,13.387191,13.2685295,13.480071499999996,1.5415340255691867,1.5346811366178303,1.5415821469003792,0.05041051370325756,1.5392860745854293,60
WFG3,M2,D11,11.278508816666664,0.3333123296095488,11.243371,11.094492000000004,11.426869750000002,8.425942366666666,0.3831252541302085,8.3004095,8.220337499999985,8.39129525,1.3385456873387662,1.3545561818365708,1.3409332704682493,0.06630966290278423,1.351762237136713,60
WFG3,M3,D12,31.418715383333335,0.8163934832070587,31.424227500000008,30.78666450000002,32.032792,25.22506395,0.27236703406805285,25.215866999999996,25.048018000000003,25.417141749999985,1.2455356087742777,1.2462084884886175,1.2457235094952614,0.03672197889960594,1.242951074735522,60
WFG4,M2,D11,11.0801291,0.48629629938183233,10.945312999999999,10.753789749999996,11.309523499999997,7.9467755,0.38433754039851054,7.840717999999996,7.695564250000007,7.947264499999999,1.3942924523286206,1.3959579977241885,1.397580144704037,0.09281923867994933,1.3938511903974784,60
WFG4,M3,D12,28.721190316666664,0.850283554281417,28.45858500000002,28.119730999999998,29.293960250000012,22.06858091666667,0.23982269941094939,22.0376165,21.8974495,22.260939499999996,1.3014516168991999,1.2913640184273114,1.3015453676684363,0.03915828198261623,1.2961489936654023,60
WFG5,M2,D11,18.230850499999995,0.6461741430081573,18.268902500000003,17.745591499999996,18.69557300000004,13.68023295,0.7613108956925676,13.797832500000005,13.278975749999995,14.053996999999987,1.3326418173310415,1.324041475354915,1.336417470778016,0.08359699706913828,1.3361075879081343,60
WFG5,M3,D12,31.51114731666667,0.7936317018869379,31.52995650000001,30.85506300000002,32.10459175000001,24.89969086666667,0.393677761479065,24.86351050000004,24.68876524999998,25.17508575,1.265523635831591,1.2681216717164683,1.2658008565061634,0.03638003008258265,1.27292337981052,60
WFG6,M2,D11,10.660366383333333,0.32879843216877713,10.638567000000002,10.435870750000017,10.812031999999995,7.582680550000001,0.41792056626201174,7.513294500000001,7.3542479999999975,7.675673749999997,1.405883620315949,1.415965659272374,1.409902262958444,0.08631560812801178,1.4138122337255485,60
WFG6,M3,D12,23.991611483333333,0.7539123914943483,23.976054499999975,23.69588425,24.33775649999998,16.271667716666666,0.30068085856044635,16.3359095,16.083847000000002,16.48414025000001,1.4744408441157706,1.4676902133915455,1.4750102172218333,0.05557769437357583,1.479320211047499,60
WFG7,M2,D11,14.525564716666667,0.3152429685997732,14.487072999999993,14.271615250000002,14.67531799999999,12.200946516666665,0.4218492917548684,12.072528499999997,11.937728749999996,12.218003749999989,1.1905276936362716,1.2000032139083372,1.1918770055554513,0.047275967812659934,1.198608424309448,60
WFG7,M3,D12,34.377869583333336,0.5485215928571808,34.42344600000001,33.947944999999976,34.67743299999998,28.511156966666668,0.1723264306499211,28.48823,28.37291074999999,28.63273675,1.2057690125842888,1.2083392334307892,1.2058222629409652,0.02116777839696434,1.2077374063640982,60
WFG8,M2,D11,7.26008275,0.45943208203746033,7.275717000000004,6.9883827499999835,7.557882749999999,5.0009677833333335,0.4451920404745979,4.900486499999996,4.744668750000004,5.220058500000002,1.451735556904724,1.4846927952969586,1.4636026357891523,0.16860251659072706,1.4683661820719536,60
WFG8,M3,D12,19.27377978333333,0.756349209069887,19.202871000000016,18.81025975,19.55072025000002,11.852347016666666,0.20129692662893123,11.893510499999994,11.69790824999999,11.982008000000002,1.626157229131978,1.6145671204477454,1.6264421447474235,0.06510183038500159,1.6179885959901577,60
WFG9,M2,D11,15.386071399999997,4.557418052385142,14.418548000000019,14.139444000000006,14.679787000000005,10.958047249999998,0.4295397238645687,11.021502000000002,10.699446499999986,11.266986000000005,1.4040887987592863,1.3082198778351641,1.4055711475401238,0.41483125094810647,1.3046390644233317,60
WFG9,M3,D12,37.189721299999995,2.3404441223324883,37.30849199999998,36.201991250000006,38.32649225000002,34.82684876666667,1.0404213701959342,35.105239500000025,34.422621499999984,35.41578025000004,1.0678462914966589,1.0627613578879003,1.0691398679915085,0.07979810479045824,1.0652192768547897,60
ZDT1,M2,D30,14.156755466666665,0.2678229261442294,14.193979499999983,14.041711750000006,14.31635025,11.292717533333335,0.09643732787046425,11.276831500000007,11.229983500000035,11.350468750000005,1.2536181326487086,1.258685074792505,1.2537217390670647,0.026655294193961603,1.2581609258194169,60
ZDT2,M2,D30,13.8108609,0.28793941744370594,13.806471499999997,13.615991500000009,14.000400750000013,10.809888649999998,0.11112761074316908,10.808257499999991,10.765161249999998,10.871006749999996,1.2776136135315328,1.277400311752381,1.2777867771903109,0.031366234909294806,1.2768413250562798,60
ZDT3,M2,D30,13.217999166666665,0.4803989228928553,13.147024999999982,12.87273724999999,13.59468275,10.266905000000001,0.09180717923369389,10.269523499999991,10.205475249999992,10.317617750000002,1.2874375643552427,1.2801981513553178,1.2874893747193037,0.04675664400276203,1.2851607462577608,60
ZDT4,M2,D10,10.533574883333333,0.3541060378025781,10.516946500000003,10.308950499999998,10.735495499999995,7.081398383333332,0.13104978407151036,7.085699499999997,7.002611750000002,7.167130749999995,1.4874992640048312,1.4842495790288606,1.4882128333031213,0.06266746901217425,1.4830275788789558,60
ZDT6,M2,D10,13.931214149999999,0.6243507943339938,13.817167999999999,13.565459999999998,14.157843500000013,10.59255085,0.22293181362301698,10.585857499999989,10.460428750000005,10.72196300000001,1.3151897354356339,1.3052478743455609,1.3156179196860465,0.0618634977295481,1.3031969774728998,60
