Source,Config,Problem,M,D,Run,HasHV,HV,HasIGD,IGD,Path
main,IVFSPEA2,DTLZ1,2,6,3025,1,0.58247206437073,1,0.00184141243038352,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3025.mat
main,IVFSPEA2,DTLZ1,2,6,3026,1,0.582498950677775,1,0.00182757503774379,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3026.mat
main,IVFSPEA2,DTLZ1,2,6,3027,1,0.582496363022458,1,0.00182881439528307,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3027.mat
main,IVFSPEA2,DTLZ1,2,6,3028,1,0.582513951967112,1,0.00182342882277086,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3028.mat
main,IVFSPEA2,DTLZ1,2,6,3029,1,0.582512496728812,1,0.00182411289593427,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3029.mat
main,IVFSPEA2,DTLZ1,2,6,3030,1,0.582528138297259,1,0.00181655324252346,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3030.mat
main,IVFSPEA2,DTLZ1,2,6,3031,1,0.582533562751288,1,0.00181364664669649,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3031.mat
main,IVFSPEA2,DTLZ1,2,6,3032,1,0.582540925431247,1,0.00181194563868548,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3032.mat
main,IVFSPEA2,DTLZ1,2,6,3033,1,0.582513280961229,1,0.00182358327434534,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3033.mat
main,IVFSPEA2,DTLZ1,2,6,3034,1,0.582488704007014,1,0.00182954635912545,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3034.mat
main,IVFSPEA2,DTLZ1,2,6,3035,1,0.582486069990367,1,0.00182711243064656,/home/pedro/desenvolvimento/ivfspea2/src/matlab/lib/PlatEMO/Data/IVFSPEA2/IVFSPEA2_DTLZ1_M2_D6_3035.mat
