Problem,R,C,IGD_Median,IGD_Mean,IGD_Std,Count
MaF7,0.125,0.125,0.004732913901559376,0.004725677731410614,7.915047527591559e-05,30
MaF7,0.15,0.125,0.004727863744120245,0.004741593372747704,0.00010286626232605313,30
WFG1,0.1,0.1,0.012080209560943838,0.012088488517932924,0.0001266637712663097,30
WFG1,0.1,0.125,0.012081723909651468,0.01207667897861404,9.345218537317902e-05,30
WFG1,0.1,0.15,0.012096186928485372,0.012079647561479005,0.00010617523271837019,30
WFG1,0.125,0.125,0.012137210516485527,0.012123437048013783,0.00010082284120971319,30
WFG1,0.15,0.125,0.012104300765880722,0.01723201534577722,0.027553545059038596,30
WFG2,0.1,0.1,0.011112748612618736,0.011197991019208148,0.00025953152200559307,30
WFG2,0.1,0.125,0.011208354697588796,0.011224893584539646,0.00019913374854370065,30
WFG2,0.1,0.15,0.011225163556767913,0.011222899560919226,0.0002463911530398931,30
WFG2,0.125,0.125,0.011227432114082638,0.011218491548285813,0.0003287175636623233,30
WFG2,0.15,0.125,0.011338598751216424,0.011367983006997267,0.00025240111077676946,30
WFG3,0.1,0.1,0.012071301908207065,0.012107853188526935,0.00025278993635887396,30
WFG3,0.1,0.125,0.012015981148089626,0.012048054520844393,0.00021886691642803176,30
WFG3,0.1,0.15,0.012061388464432662,0.012076708851048746,0.00018528157845400475,30
WFG3,0.125,0.125,0.012125297055588746,0.01211807009748039,0.00017952430449595587,30
WFG3,0.15,0.125,0.012028735036504902,0.01203756181650644,0.00024023622078052712,30
WFG4,0.1,0.1,0.012745390681056692,0.01274913222790426,0.00017131091987830285,30
WFG4,0.1,0.125,0.012734422504210231,0.012722698283113065,0.0001306554236660844,30
WFG4,0.1,0.15,0.012743943447725902,0.012754981505796235,0.00019258064725622735,30
WFG4,0.125,0.125,0.012743427481511168,0.012762034505327117,0.0001711784420291418,30
WFG4,0.15,0.125,0.012678270858426564,0.01270177893296181,0.00014975176281413914,30
WFG5,0.1,0.1,0.06352361914863716,0.06354898390297888,9.710338724745895e-05,30
WFG5,0.1,0.125,0.06357878499395472,0.06357969117583331,0.00010121475329084745,30
WFG5,0.1,0.15,0.06356907071447696,0.06355769704061236,9.959260700847745e-05,30
WFG5,0.125,0.125,0.06353477186903139,0.06356578135062622,0.00010241215091925616,30
WFG5,0.15,0.125,0.06357099224213197,0.06357423057133597,0.00012370234769923608,30
WFG6,0.1,0.1,0.09811600475997719,0.09045312215355819,0.030697937351316217,30
WFG6,0.1,0.125,0.08056901005431144,0.08359599476132619,0.020878353387215727,30
WFG6,0.1,0.15,0.09334941184269333,0.08611426344809446,0.025925981099738243,30
WFG6,0.125,0.125,0.08211358524256446,0.08267383973906689,0.0280266707532293,30
WFG6,0.15,0.125,0.09474092686992831,0.0894187502513077,0.026793754672512726,30
WFG7,0.1,0.1,0.013441889408738646,0.013449961217525707,0.00033174271787108527,30
WFG7,0.1,0.125,0.013331315481346674,0.013397748308093047,0.0002998357298189319,30
WFG7,0.1,0.15,0.013453417219237391,0.01343967456584973,0.0002458518254363693,30
WFG7,0.125,0.125,0.013309555012077968,0.013378928195432677,0.00030071605791893205,30
WFG7,0.15,0.125,0.013282492527234888,0.013329578909834048,0.0002947741399500877,30
WFG8,0.1,0.1,0.10735899761028833,0.1066771546776695,0.002579562302156218,30
WFG8,0.1,0.125,0.10722201595979017,0.10717290641479048,0.0025347695998991777,30
WFG8,0.1,0.15,0.10736516742834211,0.10717119525500461,0.002968271966691125,30
WFG8,0.125,0.125,0.10760951897024498,0.10689959278098816,0.0021916468819915057,30
WFG8,0.15,0.125,0.10768951532146703,0.10692071234721141,0.002522713006712029,30
WFG9,0.1,0.1,0.015562390260570337,0.024413465593574293,0.0381450062638163,30
WFG9,0.1,0.125,0.016779999985148394,0.023789596379099512,0.03754940935596582,30
WFG9,0.1,0.15,0.01692274629860603,0.03455264759699065,0.053687554422054126,30
