Problem,R,C,IGD_Median,Count,IQR
WFG4_M2,0.0,0.64,0.01340737209438865,30,0.0003504478683174876
WFG4_M2,0.05,0.05,0.013391509289453613,30,0.00034203319296145264
WFG4_M2,0.05,0.07,0.013255370587405588,30,0.0004883740893280308
WFG4_M2,0.05,0.11,0.013257285695987192,30,0.0003820981365345987
WFG4_M2,0.05,0.16,0.013340951987633864,30,0.0003510169842519551
WFG4_M2,0.05,0.21,0.013438463112546137,30,0.0004875680017571594
WFG4_M2,0.05,0.27,0.01331579288847994,30,0.0004884885665345836
WFG4_M2,0.05,0.32,0.013480878945334054,30,0.00030691504977685587
WFG4_M2,0.05,0.42,0.013402932407022729,30,0.0004332968703257521
WFG4_M2,0.05,0.53,0.013371616920006824,30,0.0003831500080343081
WFG4_M2,0.05,0.64,0.013416967971689894,30,0.0006570749478667145
WFG4_M2,0.075,0.05,0.013161486443949239,30,0.0003850423670751068
WFG4_M2,0.075,0.07,0.013142206016914765,30,0.0004607203261033175
WFG4_M2,0.075,0.11,0.013256265977762492,30,0.0002946591746422183
WFG4_M2,0.075,0.16,0.013264808366448963,30,0.00045298687910526846
WFG4_M2,0.075,0.21,0.013344506361016677,30,0.00045215656654136634
WFG4_M2,0.075,0.27,0.01335275492415691,30,0.0005210870154235461
WFG4_M2,0.075,0.32,0.013386197834046043,30,0.0004731358690975365
WFG4_M2,0.075,0.42,0.01333789280782506,30,0.00044123428443499334
WFG4_M2,0.075,0.53,0.013533552731993538,30,0.0006213979214092155
WFG4_M2,0.075,0.64,0.013492056285974227,30,0.0006994541636974362
WFG4_M2,0.1,0.05,0.013411070902671428,30,0.0002647220289119182
WFG4_M2,0.1,0.07,0.013178548990423446,30,0.0002452470494939893
WFG4_M2,0.1,0.11,0.01326541487855243,30,0.00027039989462308844
WFG4_M2,0.1,0.16,0.013542995297477583,30,0.00044500370793907826
WFG4_M2,0.1,0.21,0.01334266749736572,30,0.00032996403075924094
WFG4_M2,0.1,0.27,0.0134912352432889,30,0.0004977763582260583
WFG4_M2,0.1,0.32,0.0132770355073673,30,0.0006834223992716864
WFG4_M2,0.1,0.42,0.013392695033997544,30,0.00041391784974106893
WFG4_M2,0.1,0.53,0.013413859682577356,30,0.0003027209198155998
WFG4_M2,0.1,0.64,0.013511520747657563,30,0.00026609075218056964
WFG4_M2,0.125,0.05,0.013141350261895153,30,0.0004842791979236972
WFG4_M2,0.125,0.07,0.013192823289673274,30,0.00035395494935350214
WFG4_M2,0.125,0.11,0.013173311833033371,30,0.00044810430586764496
WFG4_M2,0.125,0.16,0.013360280031693886,30,0.00042304169804445804
WFG4_M2,0.125,0.21,0.01344103311889396,30,0.0006901682968955877
WFG4_M2,0.125,0.27,0.013304875667096266,30,0.0005695597124759713
WFG4_M2,0.125,0.32,0.013419254781341323,30,0.0004559401052183481
WFG4_M2,0.125,0.42,0.013398427342144827,30,0.000515555348831763
WFG4_M2,0.125,0.53,0.013241220775504553,30,0.0004853466388540853
WFG4_M2,0.125,0.64,0.013333125168167531,30,0.0006319291388696604
WFG4_M2,0.15,0.05,0.013026361195183219,30,0.0003494162795170414
WFG4_M2,0.15,0.07,0.01305375821828745,30,0.00042052425672573293
WFG4_M2,0.15,0.11,0.013182565270333953,30,0.00038315619954121943
WFG4_M2,0.15,0.16,0.013184414135074454,30,0.00040344657735432755
WFG4_M2,0.15,0.21,0.013134041792696635,30,0.0004069243773575735
WFG4_M2,0.15,0.27,0.0132609259199612,30,0.0006074010722580906
WFG4_M2,0.15,0.32,0.013291778184218665,30,0.0006564578111275237
WFG4_M2,0.15,0.42,0.013432809126047775,30,0.00047808148507847564
WFG4_M2,0.15,0.53,0.013272479644320255,30,0.0005047698553912044
WFG4_M2,0.15,0.64,0.013441376524284317,30,0.0006421002922379678
WFG4_M2,0.2,0.05,0.013264583661427541,30,0.0003952858710953872
WFG4_M2,0.2,0.07,0.013073571818335537,30,0.00030341559543008156
WFG4_M2,0.2,0.11,0.013004206799876336,30,0.00037612122746537996
WFG4_M2,0.2,0.16,0.013319256318382806,30,0.000613286544245065
WFG4_M2,0.2,0.21,0.013192247413671919,30,0.000464772862164611
WFG4_M2,0.2,0.27,0.013315142379530798,30,0.00034439267884236666
WFG4_M2,0.2,0.32,0.013337764644842567,30,0.0005006640734198271
WFG4_M2,0.2,0.42,0.013338743814145008,30,0.0005103248078391649
WFG4_M2,0.2,0.53,0.013286761266539455,30,0.0003671449025386582
WFG4_M2,0.2,0.64,0.013337301296680409,30,0.0003764056020136436
WFG4_M2,0.25,0.05,0.013253572505557733,30,0.0004887673318445373
WFG4_M2,0.25,0.07,0.013153192804495464,30,0.0003998998410485177
WFG4_M2,0.25,0.11,0.013025007549091128,30,0.0003620820141609655
WFG4_M2,0.25,0.16,0.013094470345087844,30,0.0005459653595344897
WFG4_M2,0.25,0.21,0.013261467434775841,30,0.0004361643945328692
WFG4_M2,0.25,0.27,0.013246451319054765,30,0.0004591212861998154
WFG4_M2,0.25,0.32,0.013205254202498143,30,0.0006807871271710033
WFG4_M2,0.25,0.42,0.013396127457261764,30,0.0005555872996652247
WFG4_M2,0.25,0.53,0.013421036835243955,30,0.0005880543951141456
WFG4_M2,0.25,0.64,0.01350834988934458,30,0.0005911636299372035
WFG4_M2,0.3,0.05,0.013285371688808133,30,0.0003052882135063748
