analysis_mode,comparison,ivf_algo,base_algo,problem,M,group,metric,test,n_ivf,n_base,n_pairs,p_value,a12_raw,a12_ivf,median_ivf,median_base,p_adj,significant,sign
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ7,2,DTLZ,IGD,wilcoxon,30,30,30,0.017453668639063835,0.33444444444444443,0.6655555555555556,0.0050737431736110495,0.005099293316237,0.04450685502961278,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF1,2,MaF,IGD,wilcoxon,30,30,30,1.862645149230957e-09,0.0,1.0,0.0035705739461352,0.0035707083461242,1.899898052215576e-08,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF2,2,MaF,IGD,wilcoxon,30,30,30,9.90256667137146e-05,0.07666666666666666,0.9233333333333333,0.00200625605064425,0.0020068601352535497,0.0005050309002399445,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF3,2,MaF,IGD,wilcoxon,30,30,30,7.994472980499268e-06,0.15,0.85,0.0059987980298251,0.0065322656606685,4.5302013556162514e-05,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF4,2,MaF,IGD,wilcoxon,30,30,30,0.01453801617026329,0.2966666666666667,0.7033333333333334,0.0349873963936281,0.0351683950047435,0.04361404851078987,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF5,2,MaF,IGD,wilcoxon,30,30,30,0.0007296018302440643,0.09777777777777778,0.9022222222222223,0.0122304875256289,0.01223102565867675,0.0033826993947679343,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF6,2,MaF,IGD,wilcoxon,30,30,30,1.862645149230957e-09,0.0,1.0,0.0039658814126353,0.0039660811795808,1.899898052215576e-08,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,MaF7,2,MaF,IGD,wilcoxon,30,30,30,0.018529480323195457,0.33555555555555555,0.6644444444444444,0.0050405620910281505,0.0050737700936544505,0.04500016649918897,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG1,2,WFG,IGD,wilcoxon,30,30,30,0.10943205840885639,0.5822222222222222,0.4177777777777778,0.09725139722017184,0.08997286189720895,0.19244948202936815,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG2,2,WFG,IGD,wilcoxon,30,30,30,0.5698575973510742,0.48444444444444446,0.5155555555555555,0.01393081316440385,0.01391687131393945,0.6919699396405902,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG3,2,WFG,IGD,wilcoxon,30,30,30,0.016431212425231934,0.31222222222222223,0.6877777777777778,0.01132071761216705,0.0113425980134316,0.04450685502961278,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG4,2,WFG,IGD,wilcoxon,30,30,30,0.935398668050766,0.41444444444444445,0.5855555555555556,0.012232473607895401,0.012232616422874851,0.9870270489156246,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG5,2,WFG,IGD,wilcoxon,30,30,30,1.0,0.58,0.42000000000000004,0.06337149012799184,0.06336994243206026,1.0,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG6,2,WFG,IGD,wilcoxon,30,30,30,0.00466480478644371,0.31222222222222223,0.6877777777777778,0.0717330776791116,0.0872921317759421,0.01826023230595248,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG7,2,WFG,IGD,wilcoxon,30,30,30,0.22855282202363014,0.4011111111111111,0.5988888888888889,0.01223346317574075,0.012233981319114299,0.3428292330354452,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG8,2,WFG,IGD,wilcoxon,30,30,30,0.07672121562063694,0.63,0.37,0.10638752069867895,0.10562551497033901,0.15651127986609936,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,WFG9,2,WFG,IGD,wilcoxon,30,30,30,0.10943205840885639,0.6077777777777778,0.39222222222222225,0.014734404807654849,0.01455692861661975,0.19244948202936815,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT1,2,ZDT,IGD,wilcoxon,30,30,30,0.20540969260036945,0.5488888888888889,0.45111111111111113,0.0038879370449822,0.00388791589295775,0.3379320749231885,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT2,2,ZDT,IGD,wilcoxon,30,30,30,5.587935447692871e-09,0.03,0.97,0.00380696262440505,0.00380699219437345,4.7497451305389404e-08,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT3,2,ZDT,IGD,wilcoxon,30,30,30,0.8871948085725307,0.4633333333333333,0.5366666666666666,0.00608562632899685,0.0061160709122258,0.9836290268956319,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT4,2,ZDT,IGD,wilcoxon,30,30,30,0.25343610532581806,0.31333333333333335,0.6866666666666666,0.003888827440609,0.0038943355057410997,0.3692926106176206,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,ZDT6,2,ZDT,IGD,wilcoxon,30,30,30,0.00577649287879467,0.3277777777777778,0.6722222222222223,0.0030012615661216997,0.0030012735898631,0.01964007578790188,True,+
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ1,3,DTLZ,IGD,wilcoxon,30,30,30,0.2621222734451294,0.4077777777777778,0.5922222222222222,0.020558964174140652,0.02056161520981165,0.3713398873806,False,=
primary_paired,IVFNSGAIII_vs_NSGAIII,IVFNSGAIII,NSGAIII,DTLZ2,3,DTLZ,IGD,wilcoxon,30,30,30,0.034536734223365784,0.35444444444444445,0.6455555555555555,0.0544639709058104,0.0544641503995398,0.07658145414746326,False,=
