problem,M,group,median_ivf,iqr_ivf,median_base,iqr_base,pval,A12,n_runs,significant,sign
MaF3,3,MaF,0.046315730596277596,0.0002841747202486297,0.04696051502703415,0.0009024581326410805,2.7623027563095093e-06,0.15666666666666665,30,True,+
MaF4,3,MaF,0.33746818038370974,0.02640385210189411,0.33960477844927983,0.0339554701261382,0.5291051845997572,0.45333333333333337,30,False,=
MaF5,3,MaF,0.2597580896988205,1.241630575343693,0.2597744172277292,0.0001878483745764714,0.2710056286305189,0.5455555555555556,30,False,=
MaF6,3,MaF,0.0150425254671798,0.002266772564559174,0.01568062430432985,0.0015396317204286261,0.6554384250193834,0.4844444444444445,30,False,=
MaF7,3,MaF,0.07707450227892679,0.0050273382279021755,0.07715833975814146,0.005577285336683585,0.5158484429121017,0.4344444444444445,30,False,=
WFG1,3,WFG,0.14822488957280328,0.0019443559725934867,0.14807084432823736,0.001659835692853745,0.06666470877826214,0.6022222222222223,30,False,=
WFG2,3,WFG,0.1644808222367961,0.0009029438559940151,0.16475953705354796,0.0012865777688362556,0.8078304156661034,0.4711111111111111,30,False,=
WFG3,3,WFG,0.10569325791138605,0.02754399141844563,0.1058570678914655,0.012892250206334305,0.9676735773682594,0.4799999999999999,30,False,=
WFG4,3,WFG,0.22093086410299467,0.00010186186626554017,0.22092809884264908,8.758416983437045e-05,0.9676735773682594,0.5022222222222222,30,False,=
WFG5,3,WFG,0.2298827573733389,3.127781747203073e-05,0.2298838637100314,3.4233089486523927e-05,0.21293285302817822,0.44333333333333336,30,False,=
WFG6,3,WFG,0.23178447808096309,0.007125488055844287,0.23805717679337518,0.008312308410230895,1.4193356037139893e-06,0.2077777777777778,30,True,+
WFG7,3,WFG,0.22107502970860216,6.514569362553457e-05,0.22108237909414624,7.658658306136656e-05,0.5291051845997572,0.45444444444444443,30,False,=
WFG8,3,WFG,0.27893233661051864,0.003141339414429012,0.28007919676757664,0.005766662690393387,0.0803273618221283,0.3088888888888889,30,False,=
WFG9,3,WFG,0.22107751747572205,0.0008627349378758364,0.2214139661894858,0.0011986600998639685,0.22064675763249397,0.4133333333333333,30,False,=
