comparison,metric,tau,algo,fe_norm,fraction_solved,ci_low,ci_high,n_traces
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9090909090909091,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9181818181818181,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9272727272727272,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9363636363636363,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9454545454545454,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9545454545454545,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9636363636363636,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9727272727272727,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9818181818181817,0.9901960784313726,0.984967320261438,0.9947712418300654,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,0.9909090909090909,0.9908496732026144,0.9862581699346405,0.9954248366013072,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,IVFNSGAIII,1.0,0.9908496732026144,0.9862581699346405,0.9954248366013072,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.1,0.6875816993464052,0.6647058823529411,0.711764705882353,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.1090909090909091,0.7196078431372549,0.6980228758169934,0.7425,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.1181818181818182,0.7549019607843137,0.7333333333333333,0.7777777777777778,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.1272727272727273,0.7869281045751634,0.7660130718954249,0.8084967320261438,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.13636363636363635,0.8202614379084967,0.8006372549019608,0.8411764705882353,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.14545454545454545,0.8457516339869281,0.8281045751633986,0.865359477124183,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.15454545454545454,0.8686274509803922,0.8516339869281045,0.8856372549019608,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.16363636363636364,0.8934640522875817,0.8771241830065359,0.9084967320261438,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.17272727272727273,0.9058823529411765,0.8908496732026144,0.9202614379084967,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.18181818181818182,0.9137254901960784,0.8993464052287582,0.9281045751633987,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.19090909090909092,0.9215686274509803,0.907843137254902,0.9352941176470588,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.2,0.9294117647058824,0.9163398692810457,0.9418300653594771,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.2090909090909091,0.9313725490196079,0.918954248366013,0.9437908496732026,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.2181818181818182,0.9352941176470588,0.9228758169934641,0.9470588235294117,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.22727272727272727,0.9398692810457516,0.9280882352941177,0.9516339869281045,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.23636363636363636,0.9444444444444444,0.9326797385620915,0.9549183006535948,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.24545454545454545,0.9470588235294117,0.9359477124183007,0.9575163398692811,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.2545454545454545,0.9503267973856209,0.9398529411764706,0.9601307189542484,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.26363636363636367,0.954248366013072,0.9437908496732026,0.9640522875816994,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.2727272727272727,0.9588235294117647,0.9490196078431372,0.9686274509803922,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.28181818181818186,0.9620915032679739,0.9522875816993464,0.9712418300653595,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.2909090909090909,0.9640522875816994,0.9548856209150327,0.973202614379085,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.3,0.965359477124183,0.9562091503267974,0.9745098039215686,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.3090909090909091,0.965359477124183,0.9562091503267974,0.9745098039215686,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.3181818181818182,0.9660130718954248,0.9568627450980393,0.9745098039215686,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.32727272727272727,0.9660130718954248,0.9568627450980393,0.9745098039215686,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.33636363636363636,0.9666666666666667,0.9575163398692811,0.9751633986928104,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.34545454545454546,0.969281045751634,0.9607843137254902,0.9771241830065359,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.3545454545454545,0.9699346405228758,0.961437908496732,0.9777777777777777,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.36363636363636365,0.9712418300653595,0.9627450980392157,0.9790849673202614,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.3727272727272727,0.9718954248366013,0.9633986928104575,0.9797385620915032,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.38181818181818183,0.9725490196078431,0.9640522875816994,0.9803921568627451,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.3909090909090909,0.9738562091503268,0.965359477124183,0.981062091503268,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.4,0.9745098039215686,0.9666666666666667,0.9823529411764705,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.40909090909090906,0.9764705882352941,0.9686274509803922,0.9836601307189542,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.4181818181818182,0.9771241830065359,0.969281045751634,0.984313725490196,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.42727272727272725,0.9771241830065359,0.969281045751634,0.984313725490196,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.4363636363636364,0.9771241830065359,0.969281045751634,0.984313725490196,1530
IVFNSGAIII_vs_NSGAIII,IGD,0.5,NSGAIII,0.44545454545454544,0.9771241830065359,0.969281045751634,0.984313725490196,1530
