Phase,ConfigID,ProblemTag,ProblemName,M,Run,IGD,HV,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description
A,A01,DTLZ1_M3,DTLZ1,3,100127,0.020407920078530012,0.8411907503888842,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100128,0.02017853233818444,0.8424153407249684,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100129,0.02011407864258302,0.8422562834102417,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100130,0.020276949260728594,0.8403872613532053,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100131,0.020319810065526602,0.8398598702858786,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100132,0.020135472697071256,0.8426707012104597,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100133,0.02011971478075009,0.8425666584122841,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100134,0.020162596229196528,0.841992386905309,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100135,0.020289249510060864,0.8417221254068412,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100136,0.020105312282235575,0.8426382003927261,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100137,0.019922871544288834,0.8420927396897098,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100138,0.02011015140550444,0.8418427617634847,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100139,0.020163808999913574,0.8415036905377913,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100140,0.02002087986204369,0.8414870484179634,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100141,0.020238418705762876,0.8421308675263204,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100142,0.020100900370933553,0.8424278184082669,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100143,0.020328592971932197,0.8420102529889757,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100144,0.020465508584569938,0.8410169039729588,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100145,0.020324560775415012,0.8412337085877963,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100146,0.020395965444055614,0.8407366687212667,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100147,0.02026686718902283,0.8421598668490693,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100148,0.019958783398665157,0.84255901211826,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100149,0.019886669801903765,0.8426845061532856,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ1_M3,DTLZ1,3,100150,0.020371916531832027,0.8412423472660566,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100151,0.05422744813900578,0.5555161185305548,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100152,0.054048355891094635,0.5564303059877107,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100153,0.054332545792435315,0.5559116023056323,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100154,0.054496214377918864,0.5554275402794638,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100155,0.05477045440448104,0.554329522430171,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100156,0.05361609485878624,0.5552380187422599,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100157,0.05388040266265755,0.5571801720455087,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100158,0.053496086690856495,0.5579076555665385,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100159,0.053926136480784224,0.5547616599500986,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100160,0.05374503210476491,0.5553856179396474,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
A,A01,DTLZ2_M3,DTLZ2,3,100161,0.053559520294527055,0.5562038568063529,0.05,0.07,2,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)"
