Phase,ConfigID,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,ProblemCoverage,MeanCombinedRank,MeanNormRankIGD,MeanNormRankHV,MeanIGDMedian,MeanHVMedian,ExpectedProblems,CompleteCoverage
A,A11,0.05,0.21,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.671985815602837,0.5975177304964538,0.7464539007092199,0.12765074101183493,0.5118562184803984,12,True
A,A03,0.05,0.07,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6888297872340425,0.6329787234042553,0.7446808510638298,0.075801892238402,0.5205762653132714,12,True
A,A06,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6923758865248226,0.6914893617021276,0.6932624113475178,0.07631615066647938,0.5205518050783119,12,True
A,A12,0.05,0.21,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.6968085106382979,0.6542553191489362,0.7393617021276596,0.07578691585339324,0.5204292953341697,12,True
A,A05,0.05,0.11,3,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",12,0.702127659574468,0.6666666666666666,0.7375886524822696,0.0758384618992501,0.5203139152760866,12,True
B,B02,0.2,0.16,2,0.3,0.1,0,1,EAR light polynomial,12,0.3333333333333333,0.375,0.2916666666666667,0.07580399195863155,0.5211154399235883,12,True
B,B03,0.2,0.16,2,0.5,0.2,0,1,EAR medium polynomial,12,0.3958333333333333,0.4375,0.3541666666666667,0.07602684529105784,0.5208783404182491,12,True
B,B01,0.2,0.16,2,0.0,0.0,0,1,AR control,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.11674421502694982,0.503439634877397,12,True
B,B04,0.2,0.16,2,0.7,0.3,0,1,EAR strong polynomial,12,0.6458333333333334,0.625,0.6666666666666666,0.17983071501509362,0.5032123962272411,12,True
B,B05,0.2,0.16,2,0.5,0.2,1,1,EARN random neogenesis,12,0.7083333333333334,0.6458333333333334,0.7708333333333334,0.07572846803930493,0.5203359396351209,12,True
