Phase,ConfigID,ProblemTag,ProblemName,M,R,C,Cycles,MutRate,VarRate,EARN,N_Offspring,Description,Runs,IGD_Median,IGD_Mean,IGD_IQR,HV_Median,HV_Mean,HV_IQR
A,A06,DTLZ1_M3,DTLZ1,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.020152866023080168,0.020156285235865715,0.0001942496294930797,0.842124428856873,0.8418357676391313,0.0011776052946392834
A,A06,DTLZ2_M3,DTLZ2,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.053951108663824104,0.05406579803615403,0.0006178548585539581,0.5565310505935669,0.5564308987581092,0.0014361413895535025
A,A06,DTLZ4_M3,DTLZ4,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.055066658445515226,0.24896622805613453,0.4865896976024404,0.5553489453653396,0.4725542083750647,0.20868682705335628
A,A06,DTLZ7_M3,DTLZ7,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.060528143430734004,0.07917531387546954,0.002468224230620736,0.27650217097700963,0.2744444574409412,0.0019670746098532366
A,A06,MaF1_M3,MaF1,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.04158933069458065,0.04151238543170331,0.0004895812795553331,0.21930214097825915,0.219160093441533,0.000842242270848198
A,A06,MaF5_M3,MaF5,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.24925922776752443,1.045485771111711,1.2477364812699536,0.553827979444879,0.4498230530949433,0.20889458075705902
A,A06,WFG2_M3,WFG2,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.17740260430511456,0.1777066731326457,0.007128759473706753,0.9288531816714936,0.9289247880060377,0.0017672684507070713
A,A06,WFG4_M2,WFG4,2,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.012926162437120551,0.012906940904200925,0.0003358942794325307,0.34699612824896026,0.34700006749878226,0.00016316054506820832
A,A06,WFG5_M3,WFG5,3,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.22190076899440692,0.22190162142434205,0.0021060839904187834,0.5150846418193096,0.5145707065885733,0.0022521825362522563
A,A06,WFG9_M2,WFG9,2,0.05,0.11,4,0.0,0.0,0,1,"AR baseline grid (R,C,Cycles)",30,0.01600255211912652,0.024236723141389815,0.001916364455963663,0.34277743932077676,0.3381701683305141,0.0016391034431422757
