algo,problem,group,M,D,run,IGD,HV
IVFNSGAII,DTLZ3,DTLZ,2,11,4021,0.0048410521461988,0.3458926780922352
IVFNSGAII,DTLZ3,DTLZ,2,11,4022,0.0054952224546506,0.3449140082406377
IVFNSGAII,DTLZ3,DTLZ,2,11,4023,0.0050330356402996,0.3461709323351752
IVFNSGAII,DTLZ3,DTLZ,2,11,4024,0.0056745208592697,0.3447146014785661
IVFNSGAII,DTLZ3,DTLZ,2,11,4025,0.0058716173538154,0.3432283615075942
IVFNSGAII,DTLZ3,DTLZ,2,11,4026,0.0052890406266198,0.345174912901509
IVFNSGAII,DTLZ3,DTLZ,2,11,4027,0.0050580736853419,0.3464325076554437
IVFNSGAII,DTLZ3,DTLZ,2,11,4028,0.0050502053964339,0.346301056831288
IVFNSGAII,DTLZ3,DTLZ,2,11,4029,0.0053287536005242,0.3451322049931679
IVFNSGAII,DTLZ3,DTLZ,2,11,4030,0.0048547735804407,0.3470008066542527
IVFNSGAII,DTLZ3,DTLZ,3,12,4001,0.0629366500361323,0.542498857400035
IVFNSGAII,DTLZ3,DTLZ,3,12,4002,0.0712653024097895,0.5191139665272617
IVFNSGAII,DTLZ3,DTLZ,3,12,4003,0.0670267490255804,0.5348151980802063
IVFNSGAII,DTLZ3,DTLZ,3,12,4004,0.0686643245949834,0.5298930796191272
IVFNSGAII,DTLZ3,DTLZ,3,12,4005,0.0679323770674318,0.5290799090336623
IVFNSGAII,DTLZ3,DTLZ,3,12,4006,0.0670578641679944,0.5328908891287318
IVFNSGAII,DTLZ3,DTLZ,3,12,4007,0.0699345885936154,0.5309089153367144
IVFNSGAII,DTLZ3,DTLZ,3,12,4008,0.0686533716122013,0.5295836138420604
IVFNSGAII,DTLZ3,DTLZ,3,12,4009,0.0688688656944277,0.5298783624058405
IVFNSGAII,DTLZ3,DTLZ,3,12,4010,0.0645948689882177,0.5375820779686507
IVFNSGAII,DTLZ3,DTLZ,3,12,4011,0.0686523184313846,0.5368422581450334
IVFNSGAII,DTLZ3,DTLZ,3,12,4012,0.0643653955896421,0.5263920372815716
IVFNSGAII,DTLZ3,DTLZ,3,12,4013,0.0709410222634435,0.5296929257580507
IVFNSGAII,DTLZ3,DTLZ,3,12,4014,0.0698981951153611,0.5287019401440575
IVFNSGAII,DTLZ3,DTLZ,3,12,4015,0.0677055742343097,0.5372569602108691
IVFNSGAII,DTLZ3,DTLZ,3,12,4016,0.0684910375307819,0.5387115018220492
IVFNSGAII,DTLZ3,DTLZ,3,12,4017,0.0649864857603562,0.5324973901126364
IVFNSGAII,DTLZ3,DTLZ,3,12,4018,0.0712191207923118,0.5347766799534258
IVFNSGAII,DTLZ3,DTLZ,3,12,4019,0.0767024902570341,0.5205608249795914
IVFNSGAII,DTLZ3,DTLZ,3,12,4020,0.0665424812763872,0.5377845825340747
IVFNSGAII,DTLZ3,DTLZ,3,12,4021,0.0630156776832824,0.534915316130435
IVFNSGAII,DTLZ3,DTLZ,3,12,4022,0.0650071251098788,0.5236374027487494
IVFNSGAII,DTLZ3,DTLZ,3,12,4023,0.064908953534501,0.5331036644613408
IVFNSGAII,DTLZ3,DTLZ,3,12,4024,0.0682986889644634,0.5286272300326897
IVFNSGAII,DTLZ3,DTLZ,3,12,4025,0.0677966010619031,0.5391258845729611
IVFNSGAII,DTLZ3,DTLZ,3,12,4026,0.0706111714656593,0.5328943020899923
IVFNSGAII,DTLZ3,DTLZ,3,12,4027,0.0755120672108418,0.5152815286637826
IVFNSGAII,DTLZ3,DTLZ,3,12,4028,0.0708158382366455,0.5295947816384698
IVFNSGAII,DTLZ3,DTLZ,3,12,4029,0.0698281765130711,0.5316470466043791
IVFNSGAII,DTLZ3,DTLZ,3,12,4030,0.0659187603376341,0.5463537627429527
IVFNSGAII,DTLZ4,DTLZ,2,11,4001,0.0053176433068596,0.3463532940752541
IVFNSGAII,DTLZ4,DTLZ,2,11,4002,0.0049654318134764,0.3466238888814537
IVFNSGAII,DTLZ4,DTLZ,2,11,4003,0.0051897246035499,0.346421868086363
IVFNSGAII,DTLZ4,DTLZ,2,11,4004,0.00508254211738,0.3465015776734946
IVFNSGAII,DTLZ4,DTLZ,2,11,4005,0.0051942625534209,0.3461889145840532
IVFNSGAII,DTLZ4,DTLZ,2,11,4006,0.0052390034025087,0.3467045720421037
IVFNSGAII,DTLZ4,DTLZ,2,11,4007,0.0051287958530067,0.3466926769596966
IVFNSGAII,DTLZ4,DTLZ,2,11,4008,0.0051986196530172,0.3462452044783381
IVFNSGAII,DTLZ4,DTLZ,2,11,4009,0.0053080745408865,0.3463407305073106
IVFNSGAII,DTLZ4,DTLZ,2,11,4010,0.0051335616523832,0.3465870022450707
IVFNSGAII,DTLZ4,DTLZ,2,11,4011,0.0053132634797648,0.346584729530534
IVFNSGAII,DTLZ4,DTLZ,2,11,4012,0.005158651903132,0.3466163484943832
IVFNSGAII,DTLZ4,DTLZ,2,11,4013,0.0055449029197351,0.3465871867416932
IVFNSGAII,DTLZ4,DTLZ,2,11,4014,0.0051448450425568,0.3463509716825159
IVFNSGAII,DTLZ4,DTLZ,2,11,4015,0.0050462391660677,0.346596307951523
IVFNSGAII,DTLZ4,DTLZ,2,11,4016,0.0050816002672185,0.3466721975507592
