algo,problem,M,run,FE,IGD,HV
IVFNSGAII,DTLZ1,2,4027,30000,0.0024226342023478224,0.5795492431373097
IVFNSGAII,DTLZ1,2,4027,40000,0.002465847117573843,0.5794504564879879
IVFNSGAII,DTLZ1,2,4027,50000,0.002321709576137263,0.580195415610465
IVFNSGAII,DTLZ1,2,4027,60000,0.002307073472071653,0.5805094560722162
IVFNSGAII,DTLZ1,2,4027,70000,0.00228113498689621,0.5809179914244333
IVFNSGAII,DTLZ1,2,4027,80000,0.0023312805927215158,0.5808046763021102
IVFNSGAII,DTLZ1,2,4027,90000,0.002177077810365259,0.5811655705765013
IVFNSGAII,DTLZ1,2,4027,100000,0.0022348041728586926,0.5812077310991144
IVFNSGAII,DTLZ1,2,4028,10000,0.008709777160077608,0.5612520131386567
IVFNSGAII,DTLZ1,2,4028,20000,0.0033674053448402644,0.5763026546181396
IVFNSGAII,DTLZ1,2,4028,30000,0.002238509467860043,0.580976468344039
IVFNSGAII,DTLZ1,2,4028,40000,0.00216410557014276,0.581641305758873
IVFNSGAII,DTLZ1,2,4028,50000,0.002199769186019366,0.5816016170979292
IVFNSGAII,DTLZ1,2,4028,60000,0.0021492061944642436,0.5817073332673981
IVFNSGAII,DTLZ1,2,4028,70000,0.0022888995330948157,0.581391271932773
IVFNSGAII,DTLZ1,2,4028,80000,0.002248992154988913,0.5814827631551838
IVFNSGAII,DTLZ1,2,4028,90000,0.002247323987160179,0.5814945395163335
IVFNSGAII,DTLZ1,2,4028,100000,0.0024355290998665565,0.5810545689750672
IVFNSGAII,DTLZ1,2,4029,10000,0.005468308822660048,0.5702120014490102
IVFNSGAII,DTLZ1,2,4029,20000,0.0022105186297883502,0.5809407770462047
IVFNSGAII,DTLZ1,2,4029,30000,0.0021327119152343976,0.5816628927949832
IVFNSGAII,DTLZ1,2,4029,40000,0.0021454679724294858,0.5816604722633935
IVFNSGAII,DTLZ1,2,4029,50000,0.0022312184418796822,0.5814638403555703
IVFNSGAII,DTLZ1,2,4029,60000,0.0022949871089822495,0.5813151964191654
IVFNSGAII,DTLZ1,2,4029,70000,0.002199150768669697,0.581539368490587
IVFNSGAII,DTLZ1,2,4029,80000,0.0021651849739438424,0.5816006228177406
IVFNSGAII,DTLZ1,2,4029,90000,0.0021707120283521696,0.5816275467028655
IVFNSGAII,DTLZ1,2,4029,100000,0.0021910533674519956,0.5816224609822085
IVFNSGAII,DTLZ1,2,4030,10000,0.002599135692875409,0.5791624760009465
IVFNSGAII,DTLZ1,2,4030,20000,0.002255346349474798,0.5810251278600607
IVFNSGAII,DTLZ1,2,4030,30000,0.0024879595499435743,0.5806824375848727
IVFNSGAII,DTLZ1,2,4030,40000,0.0024482158958404636,0.5808964243317313
IVFNSGAII,DTLZ1,2,4030,50000,0.0022296224571724315,0.5815185212881704
IVFNSGAII,DTLZ1,2,4030,60000,0.0021223822705865314,0.5817724121527632
IVFNSGAII,DTLZ1,2,4030,70000,0.002381934589025447,0.5811619753378114
IVFNSGAII,DTLZ1,2,4030,80000,0.0022549179079237058,0.5814559552791206
