Grupo,Problema,M,instance,instance_label,Algoritmo,Run,IGD,score
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,17,0.0018218632537219,0.9375849918953706
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,18,0.001840407157674,0.9059227921426742
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,19,0.0018328688961665,0.9187937572994743
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,20,0.0018402705967678,0.9061559587240845
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,21,0.0018466318173165,0.8952946947634781
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,22,0.0018137512584186,0.951435560597056
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,23,0.0018346025474167,0.9158336895420524
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,24,0.0018360378297879,0.9133830622493395
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,25,0.0018363252466491,0.9128923214595299
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,26,0.0018382508086074,0.9096045818596392
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,27,0.0018495572053499,0.890299833891306
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,28,0.0018594919612948,0.8733370504324275
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,29,0.0018181199579358,0.9439763633789091
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,30,0.0018366350089555,0.9123634276491204
DTLZ,DTLZ1,M2,DTLZ1__M2,DTLZ1 (M2),MFOSPEA2,31,0.0018362843031917,0.9129622290652917
