case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2,label,family,m_obj,outcome_ctrl_vs_ivf,outcome_ctrl_vs_spea2,wtl_ctrl_vs_ivf,wtl_ctrl_vs_spea2
maf6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2000769109682242,7.933792919256888e-05,0.2000769109682242,7.933792919256888e-05,0.2000476957211846,9.028481800085753e-05,1.0,1.0,0.5,0.0549216289073228,0.0767398102540675,0.6455555555555555,HELPS,maf,3,tie,tie,T,T
maf7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.2429105619804449,2.9231514767635854e-05,0.2429105619804449,2.9231514767635854e-05,0.2428942321808124,3.035304776363712e-05,1.0,1.0,0.5,0.0105982609093189,0.0174358485927504,0.7211111111111111,HELPS,maf,2,tie,win,T,W
maf7_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.2774851933206389,0.00059743555009,0.2774851933206389,0.00059743555009,0.276716780924268,0.0009699638491334,1.0,1.0,0.5,0.0004601068794727,0.0010914163187492,0.7588888888888888,HELPS,maf,3,tie,win,T,W
wfg1_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.6878164585078046,0.0062645374785177,0.6866236593683017,0.0047167446731155,0.6855107760896693,0.0086042598943172,0.4589970390898609,1.0,0.5738888888888889,0.0247860513627529,0.0383057157424363,0.6822222222222222,HELPS,wfg,2,tie,win,T,W
wfg1_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9450800424051268,0.0017109006475884,0.944633480372402,0.0011582661081823,0.9442545135560309,0.0014359237772071,0.6408254038542509,1.0,0.5622222222222222,0.1705983951687812,0.2148276087310579,0.6266666666666667,NOT_HELPS,wfg,3,tie,tie,T,T
wfg2_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.632804631014187,0.0005023567919314,0.632532138617502,0.0005310112024524,0.6332730164867548,0.0001989801584663,0.0050126127898693,0.0243469764079366,0.6944444444444444,4.7124922275543213e-07,2.403371036052704e-06,0.12,NOT_HELPS,wfg,2,win,loss,W,L
wfg2_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.9305928353362368,0.0014744590523837,0.928800744790672,0.0019584119453828,0.930420691289946,0.0014479840599007,1.597777009010315e-05,0.0001810813943545,0.8477777777777777,0.7151329666376114,0.7443220673166976,0.5488888888888889,NOT_HELPS,wfg,3,win,tie,W,T
wfg3_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.5811600827304082,0.0009774385579867,0.5813182695705181,0.0006701885207195,0.5816374345340938,0.0003932115964853,0.0961015727370977,0.3267453473061323,0.4144444444444444,9.220093488693236e-06,3.617113599410424e-05,0.2144444444444444,NOT_HELPS,wfg,2,tie,loss,T,L
wfg3_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.3870028318297056,0.0040872614269559,0.3958581854595089,0.0034908919195898,0.3883278324029571,0.005910694821524,1.862645149230957e-09,6.332993507385254e-08,0.0066666666666666,0.1839690934866666,0.2288396040931707,0.3955555555555555,HELPS,wfg,3,loss,tie,L,T
wfg4_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3471894613384255,0.0001420131495511,0.3472926115372511,0.0001280249374508,0.3470898334167435,0.0002492321998921,0.000951774418354,0.0053933883706728,0.2488888888888888,0.0262289941310882,0.0399307074831492,0.67,HELPS,wfg,2,loss,win,L,W
wfg4_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.5437767596876776,0.002439819637663,0.5515786497552875,0.0023969731562798,0.5426420412627242,0.0043555989144626,1.862645149230957e-09,6.332993507385254e-08,0.0044444444444444,0.1293530762195587,0.1691540227486537,0.6322222222222222,HELPS,wfg,3,loss,tie,L,T
wfg5_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3135064700560223,0.0001158357964488,0.3135769992176194,8.037587009357416e-05,0.3134339265650694,0.0001419035333303,0.0099215045382687,0.0421663942876421,0.3061111111111111,0.0032229889184236,0.0058704441014145,0.7211111111111111,HELPS,wfg,2,loss,win,L,W
wfg5_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.515162757479319,0.0021950406891433,0.5160978415693707,0.0017280853127413,0.5139991198513079,0.0015225111988395,0.0002535328686227,0.0019892578922706,0.2727777777777778,0.124134462326765,0.1644378591861043,0.6388888888888888,HELPS,wfg,3,loss,tie,L,T
wfg6_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3061791501596931,0.0176032244854867,0.3063805123611641,0.0176968968503928,0.3030375582741972,0.018689683407135,0.3183960802853107,0.7552651206767836,0.4988888888888889,0.7303419969975948,0.7524735726641886,0.5533333333333333,NOT_HELPS,wfg,2,tie,tie,T,T
wfg6_m3,HV,paired,wilcoxon_signed_rank,30,30,30,0.4962284597254649,0.0224490274336824,0.4991255985886996,0.0179943831278099,0.5007050069767436,0.0218648908951964,4.7124922275543213e-07,8.011236786842346e-06,0.4422222222222222,0.2621222734451294,0.3108892080395721,0.4233333333333333,NOT_HELPS,wfg,3,tie,tie,T,T
wfg7_m2,HV,paired,wilcoxon_signed_rank,30,30,30,0.3464260857983305,0.0003806035089518,0.3466236014044668,0.0002934824880281,0.3463003478145032,0.0002879668356212,4.4075772166252136e-05,0.0004087026146325,0.2211111111111111,0.2988441474735737,0.3463875345716422,0.6233333333333333,HELPS,wfg,2,loss,tie,L,T
