problem,M,ivf_algo,base_algo,metric,p_value,a12,a12_label,n_pairs,median_ivf,median_base,p_adj
DTLZ3,3,IVFNSGAIII,NSGAIII,AUC_IGD,0.1641840822994709,0.5855555555555556,negligible,30,77724.77662741867,60382.631423074694,0.29380309464115845
DTLZ3,3,IVFNSGAIII,NSGAIII,Final_IGD,0.0050126127898693085,0.2833333333333333,small,30,0.05449525248344895,0.0546063861307204,0.03007567673921585
DTLZ3,3,IVFNSGAIII,NSGAIII,Best_IGD,0.0050126127898693085,0.2833333333333333,small,30,0.05449525248344895,0.0546063861307204,0.018936537206172943
DTLZ3,3,IVFNSGAIII,NSGAIII,AUC_HV,0.9515264742076397,0.5288888888888889,negligible,30,40824.809948967246,39990.840461044194,0.9609475284077152
DTLZ3,3,IVFNSGAIII,NSGAIII,Final_HV,0.004031794145703316,0.7177777777777777,small,30,0.5585349415255345,0.5564411100450095,0.02056215014308691
DTLZ3,3,IVFNSGAIII,NSGAIII,Best_HV,0.004031794145703316,0.7177777777777777,small,30,0.5585349415255345,0.5564411100450095,0.017135125119239092
DTLZ3,3,IVFNSGAII,NSGAII,AUC_IGD,0.5158484429121017,0.4266666666666667,negligible,30,62351.375742281845,66515.15086077478,0.6416651363052973
DTLZ3,3,IVFNSGAII,NSGAII,Final_IGD,0.17719271034002304,0.41,negligible,30,0.06839486324762264,0.06868937540747405,0.36885013172821124
DTLZ3,3,IVFNSGAII,NSGAII,Best_IGD,0.2988441474735737,0.5777777777777777,negligible,30,0.06696850599114959,0.06649171864431219,0.41756305537403443
DTLZ3,3,IVFNSGAII,NSGAII,AUC_HV,0.22064675763249397,0.5677777777777778,negligible,30,38011.45550837169,37167.452832231575,0.31698548279597727
DTLZ3,3,IVFNSGAII,NSGAII,Final_HV,0.7151329666376114,0.53,negligible,30,0.5320722183585078,0.5317493781125406,0.7928648108373517
DTLZ3,3,IVFNSGAII,NSGAII,Best_HV,0.6263462882488966,0.4666666666666667,negligible,30,0.534183723822505,0.5341589256973767,0.7178350719257017
DTLZ4,2,IVFNSGAIII,NSGAIII,AUC_IGD,0.008142979815602303,0.7144444444444444,small,30,358.74218495751825,358.16977790120745,0.028640825558325343
DTLZ4,2,IVFNSGAIII,NSGAIII,Final_IGD,0.02084985189139843,0.17444444444444446,small,30,0.00396587800767795,0.00396614944577285,0.07876610714528295
DTLZ4,2,IVFNSGAIII,NSGAIII,Best_IGD,0.0012321043759584427,0.09444444444444444,medium,30,0.00396587656151015,0.0039660751851643,0.005984506968941008
DTLZ4,2,IVFNSGAIII,NSGAIII,AUC_HV,0.0635564886033535,0.3333333333333333,small,30,31245.56266755377,31246.16192559228,0.12965523675084115
DTLZ4,2,IVFNSGAIII,NSGAIII,Final_HV,0.052263347432017326,0.7322222222222222,small,30,0.34721512854530867,0.34721504692718613,0.1300210106845309
DTLZ4,2,IVFNSGAIII,NSGAIII,Best_HV,0.00577649287879467,0.7933333333333333,small,30,0.34721516411924547,0.3472151190816888,0.02031731978058815
DTLZ4,2,IVFNSGAII,NSGAII,AUC_IGD,0.1459994912147522,0.39222222222222225,negligible,30,458.4157581446185,461.3678395397752,0.2919989824295044
DTLZ4,2,IVFNSGAII,NSGAII,Final_IGD,0.5698575973510742,0.48,negligible,30,0.00517018917191145,0.00514155180241185,0.683829116821289
DTLZ4,2,IVFNSGAII,NSGAII,Best_IGD,0.18396909348666668,0.40444444444444444,negligible,30,0.00484947079026915,0.00491856889675925,0.31274745892733335
DTLZ4,2,IVFNSGAII,NSGAII,AUC_HV,0.01283373311161995,0.7166666666666667,small,30,31193.60495612637,31186.222478224823,0.031927823838664264
DTLZ4,2,IVFNSGAII,NSGAII,Final_HV,0.21293285302817822,0.5811111111111111,negligible,30,0.3465858658878024,0.3464929320895054,0.36812120354024025
DTLZ4,2,IVFNSGAII,NSGAII,Best_HV,0.044907208532094955,0.6755555555555556,small,30,0.3468662007333988,0.3467536228051452,0.09745819723986565
DTLZ4,3,IVFNSGAIII,NSGAIII,AUC_IGD,0.4898460879921913,0.4166666666666667,negligible,30,4912.029230102153,4911.628458473235,0.6324595060152344
DTLZ4,3,IVFNSGAIII,NSGAIII,Final_IGD,0.017453668639063835,0.3022222222222222,small,30,0.054465152393706195,0.0544712174846049,0.07121096804738045
DTLZ4,3,IVFNSGAIII,NSGAIII,Best_IGD,0.0006084088236093521,0.22444444444444445,small,30,0.054463686372979,0.0544651501246271,0.0036504529416561127
DTLZ4,3,IVFNSGAIII,NSGAIII,AUC_HV,0.0032229889184236526,0.7577777777777778,small,30,50394.31527845321,50380.50368979803,0.009961965747854925
DTLZ4,3,IVFNSGAIII,NSGAIII,Final_HV,0.07324407435953617,0.6133333333333333,negligible,30,0.5595843020953473,0.5595440676141654,0.16241077357984107
DTLZ4,3,IVFNSGAIII,NSGAIII,Best_HV,0.06666470877826214,0.5855555555555556,negligible,30,0.5596165692481583,0.5596132404558993,0.12592222769227293
DTLZ4,3,IVFNSGAII,NSGAII,AUC_IGD,0.31839608028531075,0.3788888888888889,negligible,30,6090.698505384166,6117.178001662987,0.49963692598618
DTLZ4,3,IVFNSGAII,NSGAII,Final_IGD,0.3598779272288084,0.4033333333333333,negligible,30,0.06709818277935375,0.0680349959424827,0.5478738593632606
DTLZ4,3,IVFNSGAII,NSGAII,Best_IGD,0.1459994912147522,0.37555555555555553,negligible,30,0.06409790439398386,0.0647901351471709,0.26592764471258434
DTLZ4,3,IVFNSGAII,NSGAII,AUC_HV,0.4771064817905426,0.6011111111111112,negligible,30,48140.46751945693,48095.326380129234,0.5863236282245222
DTLZ4,3,IVFNSGAII,NSGAII,Final_HV,0.8078304156661034,0.5144444444444445,negligible,30,0.5358680613392822,0.5349263536620641,0.8583198166452348
DTLZ4,3,IVFNSGAII,NSGAII,Best_HV,0.4161298982799053,0.6055555555555555,negligible,30,0.5410815238986972,0.5397708977157165,0.5441698669814147
DTLZ5,2,IVFNSGAIII,NSGAIII,AUC_IGD,0.7921590935438871,0.49666666666666665,negligible,30,357.89436601940474,357.8492390412663,0.8595768887391116
DTLZ5,2,IVFNSGAIII,NSGAIII,Final_IGD,1.862645149230957e-09,0.0,large,30,0.0039658783353843,0.0039660358374029,3.799796104431152e-08
DTLZ5,2,IVFNSGAIII,NSGAIII,Best_IGD,1.862645149230957e-09,0.0,large,30,0.0039658783353843,0.0039660331823124,2.71414007459368e-08
DTLZ5,2,IVFNSGAIII,NSGAIII,AUC_HV,0.5978077705949545,0.4411111111111111,negligible,30,31246.18005537936,31246.32988036806,0.6929135522805154
DTLZ5,2,IVFNSGAIII,NSGAIII,Final_HV,4.6566128730773926e-08,0.9466666666666667,medium,30,0.34721516265874225,0.34721511004695144,1.5832483768463135e-06
DTLZ5,2,IVFNSGAIII,NSGAIII,Best_HV,5.144625902175903e-06,0.8655555555555555,medium,30,0.34721516306214334,0.3472151306071868,5.830576022466023e-05
DTLZ5,2,IVFNSGAII,NSGAII,AUC_IGD,0.42795460671186447,0.5744444444444444,negligible,30,458.4489031611775,456.319871936947,0.5898833768190564
DTLZ5,2,IVFNSGAII,NSGAII,Final_IGD,0.40449450351297855,0.5655555555555556,negligible,30,0.00514398641207065,0.0051231971566383,0.5979483964974466
DTLZ5,2,IVFNSGAII,NSGAII,Best_IGD,0.7303419969975948,0.48333333333333334,negligible,30,0.0048331599271171,0.00483764040989365,0.8267040953607014
DTLZ5,2,IVFNSGAII,NSGAII,AUC_HV,1.8244609236717224e-05,0.8288888888888889,small,30,31193.854545623915,31187.440018537825,0.00012406334280967712
DTLZ5,2,IVFNSGAII,NSGAII,Final_HV,0.5561132747679949,0.4666666666666667,negligible,30,0.3465766311257402,0.3466251778427251,0.717598455923575
DTLZ5,2,IVFNSGAII,NSGAII,Best_HV,0.08406547829508781,0.6422222222222222,negligible,30,0.3468478572460426,0.3468181624268269,0.1504329611596308
DTLZ5,3,IVFNSGAIII,NSGAIII,AUC_IGD,1.4193356037139893e-06,0.89,medium,30,1217.5877753834538,1138.3578355403515,2.8954446315765383e-05
DTLZ5,3,IVFNSGAIII,NSGAIII,Final_IGD,0.370740607380867,0.5344444444444445,negligible,30,0.0128576074283162,0.0126101550199901,0.5561109110713005
DTLZ5,3,IVFNSGAIII,NSGAIII,Best_IGD,0.013663241639733315,0.6933333333333334,small,30,0.011224223816371,0.010348298833190099,0.04236793283905302
DTLZ5,3,IVFNSGAIII,NSGAIII,AUC_HV,0.007111456245183945,0.2733333333333333,small,30,17431.62894706725,17460.589827051932,0.019604555054290877
DTLZ5,3,IVFNSGAIII,NSGAIII,Final_HV,0.9032264724373817,0.5011111111111111,negligible,30,0.193935815895589,0.19375424082389026,0.9032264724373817
DTLZ5,3,IVFNSGAIII,NSGAIII,Best_HV,0.685047073289752,0.46111111111111114,negligible,30,0.19516048143259623,0.1953250508083897,0.7355242260584706
DTLZ5,3,IVFNSGAII,NSGAII,AUC_IGD,0.42795460671186447,0.4477777777777778,negligible,30,523.762739183861,526.2074778641361,0.5898833768190564
