Grupo,Problema,M,instance,instance_label,Algoritmo,value,score,metric
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),NSGAII,0.0053783927105526,0.7553436005831116,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),NSGAIII,0.005115477919686,0.8538014775435387,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),SPEA2,0.00477429662951355,0.9815690534120383,IGD
DTLZ,DTLZ7,M2,DTLZ7__M2,DTLZ7 (M2),SPEA2SDE,0.005246063099682801,0.8048991714290692,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),AGEMOEAII,0.06064552445009965,0.9923991902295993,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),ARMOEA,0.06816482444748845,0.9128037826970852,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),IVFSPEA2,0.0599850989668732,0.9993901116585251,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),MFOSPEA2,0.06043389701158275,0.9946393684668906,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),MOEAD,0.15439650154578,0.0,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),NSGAII,0.07720538834936855,0.8171050649515809,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),NSGAIII,0.0759067963323159,0.8308512861226566,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),SPEA2,0.060587852895987296,0.9930096713720196,IGD
DTLZ,DTLZ7,M3,DTLZ7__M3,DTLZ7 (M3),SPEA2SDE,0.0599274834140841,1.0,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),AGEMOEAII,0.0040602630738276,0.5367817021774702,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),ARMOEA,0.0035708127555604497,0.9997821960520188,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),IVFSPEA2,0.0037353057061909,0.8441784206771898,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),MFOSPEA2,0.00380068672290195,0.7823305846508303,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),MOEAD,0.0035705825091286,1.0,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),NSGAII,0.00462770949871615,0.0,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),NSGAIII,0.0035707034893507497,0.9998855575315536,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),SPEA2,0.0038039315396105004,0.7792611173677969,IGD
MaF,MaF1,M2,MaF1__M2,MaF1 (M2),SPEA2SDE,0.0039788566597399,0.6137889254245671,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),AGEMOEAII,0.039929025021880005,1.0,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),ARMOEA,0.043550548915540346,0.8814410969609039,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),IVFSPEA2,0.04114747607023925,0.9601112062374655,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),MFOSPEA2,0.0419005365186855,0.9354580427318455,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),MOEAD,0.070475224428483,0.0,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),NSGAII,0.05713972027360595,0.43656835920459536,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),NSGAIII,0.060658443121920855,0.32137488451149543,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),SPEA2,0.0417234503887379,0.9412553639497946,IGD
MaF,MaF1,M3,MaF1__M3,MaF1 (M3),SPEA2SDE,0.0420327915090101,0.9311283718433615,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),AGEMOEAII,0.00253534402460055,0.2970956187246414,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),ARMOEA,0.00200792490787,0.9984577210614443,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),IVFSPEA2,0.00211446515941885,0.856780462047778,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),MFOSPEA2,0.0021783113983624,0.7718777140220117,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),MOEAD,0.0020121429649803,0.9928485474292946,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),NSGAII,0.00275875773385315,0.0,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),NSGAIII,0.0020067651255082,1.0,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),SPEA2,0.0021890444626624997,0.7576048818412248,IGD
MaF,MaF2,M2,MaF2__M2,MaF2 (M2),SPEA2SDE,0.0023808991710207,0.502476432134185,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),AGEMOEAII,0.02963143310709135,1.0,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),ARMOEA,0.03287609038411645,0.7972805337656984,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),IVFSPEA2,0.0310791484211045,0.9095497457330685,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),MFOSPEA2,0.03085736397527995,0.9234063785414017,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),MOEAD,0.0388615418625447,0.42332192264521207,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),NSGAII,0.0456370853382143,0.0,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),NSGAIII,0.03597193761596065,0.6038584109343441,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),SPEA2,0.03233035843814765,0.8313767354129908,IGD
MaF,MaF2,M3,MaF2__M3,MaF2 (M3),SPEA2SDE,0.031193341492370102,0.9024151991606049,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),AGEMOEAII,0.0047530368234117,0.8686364398170219,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),ARMOEA,0.0064812251789955,0.6372029966741628,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),IVFSPEA2,0.0037721026421917497,1.0,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),MFOSPEA2,0.00438693267686845,0.9176639332089445,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),MOEAD,0.01123942599924445,0.0,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),NSGAII,0.004907900177715901,0.847897635978035,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),NSGAIII,0.00642747863615535,0.6444005613529962,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),SPEA2,0.00420216846843205,0.94240696355621,IGD
MaF,MaF3,M2,MaF3__M2,MaF3 (M2),SPEA2SDE,0.007758436133573601,0.46616300101469976,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),AGEMOEAII,0.0339948835184863,0.9430567792238101,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),ARMOEA,0.0468548082712269,0.4606956804219633,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),IVFSPEA2,0.0324767562561937,1.0,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),MFOSPEA2,0.0333824457835701,0.9660286196071635,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),MOEAD,0.0522602748534685,0.25794279887099947,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),NSGAII,0.0564028663604044,0.10255891991424648,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),NSGAIII,0.0469560478660028,0.4568982987795902,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),SPEA2,0.033261271718658,0.9705737204705903,IGD
MaF,MaF3,M3,MaF3__M3,MaF3 (M3),SPEA2SDE,0.059137124981374495,0.0,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),AGEMOEAII,0.0147849794874448,0.9867091472264561,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),ARMOEA,0.035076425830102606,0.8705171811882668,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),IVFSPEA2,0.01246390140349285,1.0,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),MFOSPEA2,0.01260784322450245,0.9991757668282589,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),MOEAD,0.187101159335668,0.0,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),NSGAII,0.0155245669278298,0.982474154939345,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),NSGAIII,0.035082732739078595,0.8704810668501772,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),SPEA2,0.01266500027136085,0.9988484767211239,IGD
MaF,MaF4,M2,MaF4__M2,MaF4 (M2),SPEA2SDE,0.04087985681993505,0.8372858360643851,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),AGEMOEAII,0.2912548899447585,0.8824947532118319,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),ARMOEA,0.3421215710279975,0.7675943995119847,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),IVFSPEA2,0.239235016014736,1.0,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),MFOSPEA2,0.241499387320628,0.9948851181477908,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),MOEAD,0.6819375791079485,0.0,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),NSGAII,0.296490074965269,0.8706692399734813,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),NSGAIII,0.33845791379435,0.77587006253966,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),SPEA2,0.24174674691034848,0.9943263692035964,IGD
MaF,MaF4,M3,MaF4__M3,MaF4 (M3),SPEA2SDE,0.4628268593406475,0.4949389003676641,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),AGEMOEAII,0.01402773558841565,0.9127653764727869,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),ARMOEA,0.012231666642175,0.9999688789869244,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),IVFSPEA2,0.0127010501506136,0.9771791714738055,IGD
MaF,MaF5,M2,MaF5__M2,MaF5 (M2),MFOSPEA2,0.01287100572529145,0.9689274162086567,IGD
