problem,M,ivf_algo,base_algo,n_targets,n_runs_ivf,n_runs_base,ks_stat,p_value,max_ecdf_gap,max_gap_fe,mean_ecdf_diff,direction
MaF6,2,IVFNSGAIII,NSGAIII,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,10050.251256281406,-0.0033333333333333327,base faster
MaF6,2,IVFNSGAII,NSGAII,10,30,30,0.043333333333333335,0.9414474696413693,0.043333333333333335,10050.251256281406,0.0007166666666666599,IVF faster
MaF6,3,IVFSPEA2,SPEA2,10,30,30,0.10333333333333333,0.0812184963146534,0.10333333333333339,10050.251256281406,0.010333333333333338,IVF faster
MaF6,3,IVFNSGAIII,NSGAIII,10,30,30,0.5233333333333333,7.053914164605735e-38,0.013333333333333308,10050.251256281406,-0.00993333333333332,base faster
MaF6,3,IVFNSGAII,NSGAII,10,30,30,0.02,0.9999999905275543,0.020000000000000018,10050.251256281406,-0.0016333333333332944,base faster
MaF7,2,IVFSPEA2,SPEA2,10,30,30,0.09,0.17609362474930004,0.08999999999999997,10050.251256281406,0.01164999999999997,IVF faster
MaF7,2,IVFNSGAIII,NSGAIII,10,30,30,0.07,0.4548928024568597,0.06999999999999995,10050.251256281406,-0.006999999999999995,base faster
MaF7,2,IVFNSGAII,NSGAII,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,30150.75376884422,-0.024533333333333365,base faster
MaF7,3,IVFSPEA2,SPEA2,10,30,30,0.04666666666666667,0.9003231885744891,0.046666666666666634,10050.251256281406,0.015933333333333327,IVF faster
MaF7,3,IVFNSGAIII,NSGAIII,10,30,30,0.6533333333333333,9.206362373856079e-61,0.05666666666666664,10050.251256281406,-0.0076666666666666775,base faster
MaF7,3,IVFNSGAII,NSGAII,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,10050.251256281406,-0.012316666666666663,base faster
WFG1,2,IVFSPEA2,SPEA2,10,30,30,0.07666666666666666,0.34165950354815394,0.07666666666666666,10050.251256281406,0.035816666666666656,IVF faster
WFG1,2,IVFNSGAIII,NSGAIII,10,30,30,0.02,0.9999999905275543,0.019999999999999962,30150.75376884422,-0.003983333333333336,base faster
WFG1,2,IVFNSGAII,NSGAII,10,30,30,0.4266666666666667,7.055670165958349e-25,0.42666666666666664,30150.75376884422,0.2048333333333333,IVF faster
WFG1,3,IVFSPEA2,SPEA2,10,30,30,0.15333333333333332,0.0017015674192205016,0.15333333333333332,20100.502512562813,0.02866666666666667,IVF faster
WFG1,3,IVFNSGAIII,NSGAIII,10,30,30,0.47,2.560690522401642e-30,0.026666666666666727,40201.005025125625,-0.00833333333333336,base faster
WFG1,3,IVFNSGAII,NSGAII,10,30,30,0.06,0.65357468169842,0.06000000000000005,10050.251256281406,-0.0028666666666666485,base faster
WFG2,2,IVFSPEA2,SPEA2,10,30,30,0.07,0.4548928024568597,0.07000000000000006,20100.502512562813,-0.019649999999999997,base faster
WFG2,2,IVFNSGAIII,NSGAIII,10,30,30,0.03,0.9993001912185819,0.029999999999999916,20100.502512562813,-0.01031666666666665,base faster
WFG2,2,IVFNSGAII,NSGAII,10,30,30,0.04666666666666667,0.9003231885744891,0.046666666666666634,90452.26130653266,-0.02710000000000001,base faster
WFG2,3,IVFSPEA2,SPEA2,10,30,30,0.05,0.8483422371364409,0.050000000000000044,10050.251256281406,-0.005333333333333345,base faster
WFG2,3,IVFNSGAIII,NSGAIII,10,30,30,0.8866666666666667,5.539698032084739e-124,0.013333333333333308,10050.251256281406,0.0013166666666666422,IVF faster
WFG2,3,IVFNSGAII,NSGAII,10,30,30,0.043333333333333335,0.9414474696413693,0.043333333333333335,10050.251256281406,-0.0050000000000000044,base faster
WFG3,2,IVFSPEA2,SPEA2,10,30,30,0.056666666666666664,0.7220634112888834,0.056666666666666754,30150.75376884422,-0.021983333333333365,base faster
WFG3,2,IVFNSGAIII,NSGAIII,10,30,30,0.023333333333333334,0.9999978779719236,0.023333333333333317,10050.251256281406,-0.000333333333333341,base faster
WFG3,2,IVFNSGAII,NSGAII,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,20100.502512562813,-0.007649999999999999,base faster
WFG3,3,IVFSPEA2,SPEA2,10,30,30,0.07333333333333333,0.3958302746926979,0.07333333333333336,80402.01005025125,0.039983333333333336,IVF faster
WFG3,3,IVFNSGAIII,NSGAIII,10,30,30,0.59,9.015046953860736e-49,0.01666666666666672,80402.01005025125,0.008233333333333348,IVF faster
WFG3,3,IVFNSGAII,NSGAII,10,30,30,0.03333333333333333,0.996366687488538,0.033333333333333326,80402.01005025125,0.02251666666666667,IVF faster
WFG4,2,IVFSPEA2,SPEA2,10,30,30,0.15,0.002308793437830372,0.15000000000000002,10050.251256281406,0.019666666666666666,IVF faster
WFG4,2,IVFNSGAIII,NSGAIII,10,30,30,0.02666666666666667,0.9999324508116627,0.026666666666666727,10050.251256281406,-0.0023500000000000205,base faster
WFG4,2,IVFNSGAII,NSGAII,10,30,30,0.05,0.8483422371364409,0.050000000000000044,10050.251256281406,0.011833333333333345,IVF faster
