algo,problem,M,metric,median,ci_low,ci_high,n_valid
IVFNSGAII,MaF2,3,AUC_IGD,4179.003468379948,4151.527290087124,4236.538768838187,30
IVFNSGAII,MaF2,3,AUC_HV,21139.00625840613,21127.95963964083,21162.8275355215,30
IVFNSGAII,MaF2,3,Final_IGD,0.04556443099379995,0.044023788806884206,0.04778267432134935,30
IVFNSGAII,MaF2,3,Final_HV,0.2358466212715043,0.2346963335738381,0.23754234767507454,30
IVFNSGAII,MaF2,3,Best_IGD,0.0419317495697526,0.0415474341193007,0.0424618097868024,30
IVFNSGAII,MaF2,3,Best_HV,0.23769275644558857,0.2374659920355705,0.23795800721361485,30
IVFNSGAII,MaF2,3,TTT_igd_x100,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x50,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x20,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x10,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x3,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x1.5,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x1.2,10000.0,10000.0,10000.0,30
IVFNSGAII,MaF2,3,TTT_igd_x1.0,50000.0,50000.0,70000.0,30
IVFNSGAII,MaF3,2,AUC_IGD,269750.3076802148,183761.51933728426,397977.27340866445,30
IVFNSGAII,MaF3,2,AUC_HV,56190.913312913064,53614.951313050195,59580.5015155747,30
