algo,problem,M,run,n_checkpoints,fe_min,fe_max,AUC_IGD,AUC_HV,Final_IGD,Final_HV,Best_IGD,Best_HV,TTT_igd_x100,TTT_igd_x50,TTT_igd_x20,TTT_igd_x10,TTT_igd_x5,TTT_igd_x3,TTT_igd_x2,TTT_igd_x1.5,TTT_igd_x1.2,TTT_igd_x1.0
IVFNSGAII,DTLZ1,3,4013,10,10000.0,100000.0,4006.5455361909526,70568.82184338233,0.0279522265312399,0.824474866087164,0.0252091015359911,0.8287375808317374,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,30000.0,30000.0,30000.0
IVFNSGAII,DTLZ1,3,4014,10,10000.0,100000.0,2802.8845717948034,73092.64768737093,0.0267804626088378,0.8236878437990837,0.0248109961338671,0.8302827860377464,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,80000.0
IVFNSGAII,DTLZ1,3,4015,10,10000.0,100000.0,6460.149309982111,70166.88646809857,0.0253446681213722,0.8233701619273701,0.0253446681213722,0.8292062625532008,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,100000.0
IVFNSGAII,DTLZ1,3,4016,10,10000.0,100000.0,2435.2487833963055,74224.963793162,0.0263519140929563,0.8273063183195932,0.0255187406282714,0.8278235952302574,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,90000.0
IVFNSGAII,DTLZ1,3,4017,10,10000.0,100000.0,2461.3213470479413,73988.53323908786,0.0259852320735311,0.8280008422364334,0.0248912601815401,0.8287097300752422,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,90000.0
IVFNSGAII,DTLZ1,3,4018,10,10000.0,100000.0,2565.5331481415806,73784.5781480472,0.0273839854382745,0.8250616083020758,0.026521140529947,0.8281457356975851,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,40000.0
IVFNSGAII,DTLZ1,3,4019,10,10000.0,100000.0,2622.696293097641,73841.5839219743,0.0252530599583105,0.8295682147968431,0.0246612986561458,0.8295682147968431,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,50000.0
IVFNSGAII,DTLZ1,3,4020,10,10000.0,100000.0,8368.477638736898,63343.11986877274,0.0277915163664638,0.8257692477828458,0.0260288969918923,0.8291456226009316,10000.0,10000.0,20000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,70000.0
IVFNSGAII,DTLZ1,3,4021,10,10000.0,100000.0,6423.520113575068,64447.62047160491,0.0265944430944793,0.8313611468311345,0.0253425222864811,0.8313611468311345,10000.0,10000.0,10000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,90000.0
IVFNSGAII,DTLZ1,3,4022,10,10000.0,100000.0,9705.94850715043,62927.60761008649,0.0285457923091582,0.824578360191969,0.0259051742856189,0.8288073713743205,10000.0,10000.0,20000.0,30000.0,30000.0,30000.0,40000.0,40000.0,40000.0,70000.0
IVFNSGAII,DTLZ1,3,4023,10,10000.0,100000.0,2419.0362829624733,74121.05441192197,0.0258181984968423,0.8295010955213431,0.0246669853349016,0.8295010955213431,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,30000.0
IVFNSGAII,DTLZ1,3,4024,10,10000.0,100000.0,2490.524257137658,74009.44246295151,0.026015816394448,0.8241485545267767,0.026015816394448,0.8278235826403806,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,100000.0
IVFNSGAII,DTLZ1,3,4025,10,10000.0,100000.0,8139.955575803084,69640.32060749538,0.026797042646504,0.8267908596936034,0.0251621858939584,0.8267908596936034,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,30000.0,90000.0
IVFNSGAII,DTLZ1,3,4026,10,10000.0,100000.0,3331.659517340557,71396.9129229672,0.0265099574033006,0.8241398804999376,0.0247490571788431,0.8279162141463405,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,20000.0,20000.0,30000.0
IVFNSGAII,DTLZ1,3,4027,10,10000.0,100000.0,2744.3698428505113,72969.93856117359,0.0278138759420303,0.8229997049414417,0.0265712885803201,0.8240475222993804,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,20000.0,20000.0,20000.0,90000.0
