Algoritmo,Problema,M,is_engineering,n_rows,n_unique_runs,run_min,run_max,expected_window,status
MFOSPEA2,DTLZ3,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ4,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ4,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ5,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ5,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ6,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ6,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ7,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,DTLZ7,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF1,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF1,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF2,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF2,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF3,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF3,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF4,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF4,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF5,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF5,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF6,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF6,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF7,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,MaF7,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG1,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG1,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG2,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG2,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG3,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG3,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG4,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG4,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG5,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG5,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG6,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG6,M3,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG7,M2,False,60,60,1,60,1-60,ok
MFOSPEA2,WFG7,M3,False,60,60,1,60,1-60,ok
