metric,M,problem,n_ivf,n_spea2,median_ivf,median_spea2,iqr_ivf,iqr_spea2,p_value,a12,sign
Spread,M3,DTLZ5,0,0,,,,,,,NA
Spread,M3,DTLZ6,0,0,,,,,,,NA
Spread,M3,DTLZ7,0,0,,,,,,,NA
Spread,M3,MaF1,0,0,,,,,,,NA
Spread,M3,MaF2,0,0,,,,,,,NA
Spread,M3,MaF3,0,0,,,,,,,NA
Spread,M3,MaF4,0,0,,,,,,,NA
Spread,M3,MaF5,0,0,,,,,,,NA
Spread,M3,MaF6,0,0,,,,,,,NA
Spread,M3,MaF7,0,0,,,,,,,NA
Spread,M3,WFG1,0,0,,,,,,,NA
Spread,M3,WFG2,0,0,,,,,,,NA
Spread,M3,WFG3,0,0,,,,,,,NA
Spread,M3,WFG4,0,0,,,,,,,NA
Spread,M3,WFG5,0,0,,,,,,,NA
Spread,M3,WFG6,0,0,,,,,,,NA
Spread,M3,WFG7,0,0,,,,,,,NA
Spread,M3,WFG8,0,0,,,,,,,NA
Spread,M3,WFG9,0,0,,,,,,,NA
