metric,suite,problem,M,baseline,A12,significant,p_value
IGD,DTLZ,DTLZ7,M3,MOEAD,0.9083333333333333,True,1.2301481889578357e-14
IGD,DTLZ,DTLZ7,M3,AGEMOEAII,0.6755555555555556,True,0.0009180211995214548
IGD,DTLZ,DTLZ7,M3,ARMOEA,0.9222222222222223,True,1.5200291453147057e-15
IGD,WFG,WFG1,M2,SPEA2,0.6083333333333333,True,0.04091949471374556
IGD,WFG,WFG1,M2,MFOSPEA2,0.9947222222222222,True,9.17147539601913e-21
IGD,WFG,WFG1,M2,SPEA2SDE,0.7916666666666666,True,3.620143668564275e-08
IGD,WFG,WFG1,M2,NSGAII,0.43944444444444447,False,0.253629081504266
IGD,WFG,WFG1,M2,NSGAIII,0.9669444444444445,True,1.1411522042143884e-18
IGD,WFG,WFG1,M2,MOEAD,0.7605555555555555,True,8.627979442589349e-07
IGD,WFG,WFG1,M2,AGEMOEAII,0.3233333333333333,True,0.0008514310248050313
IGD,WFG,WFG1,M2,ARMOEA,0.9733333333333334,True,3.854682214976216e-19
IGD,WFG,WFG2,M2,SPEA2,0.2338888888888889,True,5.019350885738354e-07
IGD,WFG,WFG2,M2,MFOSPEA2,0.17666666666666667,True,1.0165404763539466e-09
IGD,WFG,WFG2,M2,SPEA2SDE,0.9997222222222222,True,3.7393064081683805e-21
IGD,WFG,WFG2,M2,NSGAII,0.9986111111111111,True,4.567840913829236e-21
IGD,WFG,WFG2,M2,NSGAIII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG2,M2,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG2,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG2,M2,ARMOEA,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG3,M2,SPEA2,0.29583333333333334,True,0.00011567041416913156
IGD,WFG,WFG3,M2,MFOSPEA2,0.22916666666666666,True,3.1407601508151894e-07
IGD,WFG,WFG3,M2,SPEA2SDE,0.905,True,2.0114963955622066e-14
IGD,WFG,WFG3,M2,NSGAII,0.9980555555555556,True,5.0477740034171866e-21
IGD,WFG,WFG3,M2,NSGAIII,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG3,M2,MOEAD,0.9780555555555556,True,1.7122828692048396e-19
IGD,WFG,WFG3,M2,AGEMOEAII,0.9116666666666666,True,7.493749536566243e-15
IGD,WFG,WFG3,M2,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M2,SPEA2,0.8316666666666667,True,3.7462303521192323e-10
IGD,WFG,WFG4,M2,MFOSPEA2,0.8597222222222223,True,1.087921876022664e-11
IGD,WFG,WFG4,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M2,NSGAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M2,NSGAIII,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M2,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG4,M2,ARMOEA,0.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M2,SPEA2,0.8894444444444445,True,1.8954942689030208e-13
IGD,WFG,WFG5,M2,MFOSPEA2,0.9047222222222222,True,2.0952676852225217e-14
IGD,WFG,WFG5,M2,SPEA2SDE,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M2,NSGAII,0.9833333333333333,True,6.849473201576513e-20
IGD,WFG,WFG5,M2,NSGAIII,0.11388888888888889,True,3.031649457025392e-13
IGD,WFG,WFG5,M2,MOEAD,1.0,True,3.5565709749847226e-21
IGD,WFG,WFG5,M2,AGEMOEAII,1.0,True,3.5565709749847226e-21
