early_frac,help_cutoff,label_alpha,feature,n_labeled_cases,n_helps,n_not_helps,helps_median,not_helps_median,u_stat,p_value,a12,p_bh,significant_bh,signal
0.2,0.54,0.05,turnover_delta,51,41,10,-0.0021356783919598,-0.0045979899497487,219.0,0.7487445540875075,0.5341463414634147,0.7927883513867727,False,
0.2,0.54,0.05,hv_early_delta,51,41,10,0.0049384129762905,0.005085730222674251,205.0,1.0,0.5,1.0,False,
0.2,0.56,0.05,ivf_turnover_early,51,41,10,0.2504020100502512,0.20889447236180905,348.0,0.0007227055637627409,0.848780487804878,0.013008700147729337,True,BH-SIG
0.2,0.56,0.05,spea2_turnover_early,51,41,10,0.2608793969849245,0.20629396984924625,338.0,0.0016669945258207563,0.824390243902439,0.015002950732386807,True,BH-SIG
0.2,0.56,0.05,hv_final_delta,51,41,10,0.0002337963417908,-3.960789093095e-05,298.0,0.028194768295381784,0.7268292682926829,0.16916860977229073,False,RAW-SIG
0.2,0.56,0.05,igd_final_delta,51,41,10,0.0001844781810679,1.3126234337899804e-05,281.0,0.07325477562123794,0.6853658536585366,0.2947658123538627,False,WEAK
0.2,0.56,0.05,ivf_cycles_early,51,41,10,1.879396984924623,1.8806532663316582,137.5,0.09819312597875404,0.3353658536585366,0.2947658123538627,False,WEAK
0.2,0.56,0.05,ivf_fitness_early,51,41,10,4.840746194884815,1.8482291622090856,274.0,0.10412743815238627,0.6682926829268293,0.2947658123538627,False,
0.2,0.56,0.05,spea2_fitness_early,51,41,10,5.717222197987189,2.3985646412333668,272.0,0.11463114924872438,0.6634146341463415,0.2947658123538627,False,
0.2,0.56,0.05,ivf_nd_early,51,41,10,0.935929648241206,0.9625,155.0,0.24022853202364503,0.3780487804878049,0.48279757492570397,False,
0.2,0.56,0.05,spea2_nd_early,51,41,10,0.9198492462311558,0.9489824120603016,158.0,0.26993420203112817,0.3853658536585366,0.48279757492570397,False,
0.2,0.56,0.05,spacing_ratio,51,41,10,0.8083672583504581,0.9030859433487146,160.0,0.2910760375202268,0.3902439024390244,0.48279757492570397,False,
0.2,0.56,0.05,nd_delta,51,41,10,0.0144723618090452,0.0079145728643215,247.0,0.3248150858837012,0.6024390243902439,0.48279757492570397,False,
0.2,0.56,0.05,ivf_spacing_early,51,41,10,0.0188798097528034,0.0440221317775691,164.0,0.33662060986042097,0.4,0.48279757492570397,False,
0.2,0.56,0.05,igd_early_delta,51,41,10,0.0192962486761529,0.0081110916488828,245.0,0.3486871374463417,0.5975609756097561,0.48279757492570397,False,
