algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ3,DTLZ,3,12,4002,0.07126530240978955,0.5191139665272617,2.1535280000000014
IVFNSGAII,DTLZ3,DTLZ,3,12,4003,0.06702674902558044,0.5348151980802063,2.0261220000000004
IVFNSGAII,DTLZ3,DTLZ,3,12,4004,0.06866432459498344,0.5298930796191272,2.086902999999999
IVFNSGAII,DTLZ3,DTLZ,3,12,4005,0.0679323770674318,0.5290799090336623,2.176759000000001
IVFNSGAII,DTLZ3,DTLZ,3,12,4006,0.06705786416799442,0.5328908891287318,2.0185979999999977
IVFNSGAII,DTLZ3,DTLZ,3,12,4007,0.06993458859361541,0.5309089153367144,2.727937
IVFNSGAII,DTLZ3,DTLZ,3,12,4008,0.06865337161220138,0.5295836138420604,2.5300350000000007
IVFNSGAII,DTLZ3,DTLZ,3,12,4009,0.06886886569442774,0.5298783624058405,2.503207000000001
IVFNSGAII,DTLZ3,DTLZ,3,12,4010,0.06459486898821777,0.5375820779686507,1.9254950000000017
IVFNSGAII,DTLZ3,DTLZ,3,12,4011,0.06865231843138464,0.5368422581450334,2.686837000000003
IVFNSGAII,DTLZ3,DTLZ,3,12,4012,0.06436539558964219,0.5263920372815716,2.074396
IVFNSGAII,DTLZ3,DTLZ,3,12,4013,0.07094102226344354,0.5296929257580507,2.204698000000003
IVFNSGAII,DTLZ3,DTLZ,3,12,4014,0.06989819511536118,0.5287019401440575,2.6944470000000003
IVFNSGAII,DTLZ3,DTLZ,3,12,4015,0.06770557423430971,0.5372569602108691,2.7770939999999977
IVFNSGAII,DTLZ3,DTLZ,3,12,4016,0.06849103753078195,0.5387115018220492,1.978204999999998
IVFNSGAII,DTLZ3,DTLZ,3,12,4017,0.06498648576035623,0.5324973901126364,2.3979420000000027
IVFNSGAII,DTLZ3,DTLZ,3,12,4018,0.07121912079231181,0.5347766799534258,2.1836999999999995
IVFNSGAII,DTLZ3,DTLZ,3,12,4019,0.07670249025703413,0.5205608249795914,1.9667929999999991
IVFNSGAII,DTLZ3,DTLZ,3,12,4020,0.06654248127638723,0.5377845825340747,2.0971940000000036
IVFNSGAII,DTLZ3,DTLZ,3,12,4021,0.06301567768328241,0.534915316130435,2.080743
IVFNSGAII,DTLZ3,DTLZ,3,12,4022,0.06500712510987888,0.5236374027487494,2.3558320000000004
IVFNSGAII,DTLZ3,DTLZ,3,12,4023,0.06490895353450109,0.5331036644613408,2.455305
IVFNSGAII,DTLZ3,DTLZ,3,12,4024,0.06829868896446345,0.5286272300326897,2.1005109999999996
IVFNSGAII,DTLZ3,DTLZ,3,12,4025,0.06779660106190316,0.5391258845729611,2.130558999999999
IVFNSGAII,DTLZ3,DTLZ,3,12,4026,0.07061117146565934,0.5328943020899923,2.2616540000000005
IVFNSGAII,DTLZ3,DTLZ,3,12,4027,0.07551206721084189,0.5152815286637826,1.9184209999999984
IVFNSGAII,DTLZ3,DTLZ,3,12,4028,0.0708158382366455,0.5295947816384698,1.6781199999999976
IVFNSGAII,DTLZ3,DTLZ,3,12,4029,0.06982817651307115,0.5316470466043791,2.3490810000000018
IVFNSGAII,DTLZ3,DTLZ,3,12,4030,0.06591876033763418,0.5463537627429527,1.588066000000001
IVFNSGAII,DTLZ4,DTLZ,2,11,4001,0.005317643306859626,0.34635329407525417,2.332934
IVFNSGAII,DTLZ4,DTLZ,2,11,4002,0.004965431813476434,0.34662388888145373,2.652520999999995
IVFNSGAII,DTLZ4,DTLZ,2,11,4003,0.005189724603549985,0.346421868086363,2.163972999999999
