Grupo,Algoritmo,Problema,Run,M,D,Spacing,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,60,M2,D11,0.002696832604341602,IVFSPEA2_DTLZ2_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ3,1,M2,D11,0.003388622131604389,IVFSPEA2_DTLZ3_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ3,2,M2,D11,0.00339257645070311,IVFSPEA2_DTLZ3_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ3,3,M2,D11,0.0030303324838904387,IVFSPEA2_DTLZ3_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ3,4,M2,D11,0.0025905873348659684,IVFSPEA2_DTLZ3_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ3,5,M2,D11,0.002572026395612784,IVFSPEA2_DTLZ3_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ3,6,M2,D11,0.002316937230767343,IVFSPEA2_DTLZ3_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ3,7,M2,D11,0.002965342521004602,IVFSPEA2_DTLZ3_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ3,8,M2,D11,0.0035600483689623664,IVFSPEA2_DTLZ3_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ3,9,M2,D11,0.0028320015985692586,IVFSPEA2_DTLZ3_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ3,10,M2,D11,0.0029986287590630205,IVFSPEA2_DTLZ3_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ3,11,M2,D11,0.00294431354501771,IVFSPEA2_DTLZ3_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ3,12,M2,D11,0.0032962845954185535,IVFSPEA2_DTLZ3_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ3,13,M2,D11,0.0030289352456229503,IVFSPEA2_DTLZ3_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ3,14,M2,D11,0.0033052870945822067,IVFSPEA2_DTLZ3_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ3,15,M2,D11,0.002629796841434487,IVFSPEA2_DTLZ3_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ3,16,M2,D11,0.0030509395624328736,IVFSPEA2_DTLZ3_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ3,17,M2,D11,0.002950960685530513,IVFSPEA2_DTLZ3_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ3,18,M2,D11,0.002876085853944998,IVFSPEA2_DTLZ3_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ3,19,M2,D11,0.0036951107591414695,IVFSPEA2_DTLZ3_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ3,20,M2,D11,0.0025499424830169905,IVFSPEA2_DTLZ3_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ3,21,M2,D11,0.0033301399208413946,IVFSPEA2_DTLZ3_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ3,22,M2,D11,0.0030982777790443754,IVFSPEA2_DTLZ3_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ3,23,M2,D11,0.0026475737251297673,IVFSPEA2_DTLZ3_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ3,24,M2,D11,0.0029903092058761,IVFSPEA2_DTLZ3_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ3,25,M2,D11,0.002702094772883552,IVFSPEA2_DTLZ3_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ3,26,M2,D11,0.00300083726108422,IVFSPEA2_DTLZ3_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ3,27,M2,D11,0.004307441014577455,IVFSPEA2_DTLZ3_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ3,28,M2,D11,0.002971030286481052,IVFSPEA2_DTLZ3_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ3,29,M2,D11,0.0027951385010086434,IVFSPEA2_DTLZ3_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ3,30,M2,D11,0.002808046839060515,IVFSPEA2_DTLZ3_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ3,31,M2,D11,0.002479418336285979,IVFSPEA2_DTLZ3_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ3,32,M2,D11,0.0034578579233245925,IVFSPEA2_DTLZ3_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ3,33,M2,D11,0.002468260886279774,IVFSPEA2_DTLZ3_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ3,34,M2,D11,0.0028502848412093845,IVFSPEA2_DTLZ3_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ3,35,M2,D11,0.0029198821627802337,IVFSPEA2_DTLZ3_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ3,36,M2,D11,0.003918378648032634,IVFSPEA2_DTLZ3_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ3,37,M2,D11,0.003678494973159766,IVFSPEA2_DTLZ3_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ3,38,M2,D11,0.0040402975956535655,IVFSPEA2_DTLZ3_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ3,39,M2,D11,0.0030756253730822845,IVFSPEA2_DTLZ3_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ3,40,M2,D11,0.002563688953544499,IVFSPEA2_DTLZ3_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ3,41,M2,D11,0.0026889852526427445,IVFSPEA2_DTLZ3_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ3,42,M2,D11,0.0027818348565336487,IVFSPEA2_DTLZ3_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ3,43,M2,D11,0.0032502061364716784,IVFSPEA2_DTLZ3_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ3,44,M2,D11,0.0028325595491838686,IVFSPEA2_DTLZ3_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ3,45,M2,D11,0.002989330400473275,IVFSPEA2_DTLZ3_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ3,46,M2,D11,0.0028784738236079755,IVFSPEA2_DTLZ3_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ3,47,M2,D11,0.00335213565556359,IVFSPEA2_DTLZ3_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ3,48,M2,D11,0.002922142773463259,IVFSPEA2_DTLZ3_M2_D11_48.mat
DTLZ,IVFSPEA2,DTLZ3,49,M2,D11,0.0035536918520016757,IVFSPEA2_DTLZ3_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ3,50,M2,D11,0.003471974938155597,IVFSPEA2_DTLZ3_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ3,51,M2,D11,0.0030750277400671765,IVFSPEA2_DTLZ3_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ3,52,M2,D11,0.003257885570709376,IVFSPEA2_DTLZ3_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ3,53,M2,D11,0.0030090897718058137,IVFSPEA2_DTLZ3_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ3,54,M2,D11,0.0025447743281791736,IVFSPEA2_DTLZ3_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ3,55,M2,D11,0.0029931485902609327,IVFSPEA2_DTLZ3_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ3,56,M2,D11,0.002693323451644761,IVFSPEA2_DTLZ3_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ3,57,M2,D11,0.002437150663689234,IVFSPEA2_DTLZ3_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ3,58,M2,D11,0.003593603993316898,IVFSPEA2_DTLZ3_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ3,59,M2,D11,0.0029989640706148376,IVFSPEA2_DTLZ3_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ3,60,M2,D11,0.002700185232790471,IVFSPEA2_DTLZ3_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ4,1,M2,D11,0.00370831619943647,IVFSPEA2_DTLZ4_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ4,2,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ4,3,M2,D11,0.0029817687537109206,IVFSPEA2_DTLZ4_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ4,4,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ4,5,M2,D11,0.003174216590893984,IVFSPEA2_DTLZ4_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ4,6,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ4,7,M2,D11,0.002902237952267267,IVFSPEA2_DTLZ4_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ4,8,M2,D11,0.003492752838284019,IVFSPEA2_DTLZ4_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ4,9,M2,D11,0.003459374329618528,IVFSPEA2_DTLZ4_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ4,10,M2,D11,0.0026427691280455677,IVFSPEA2_DTLZ4_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ4,11,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ4,12,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ4,13,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ4,14,M2,D11,0.003047997856463134,IVFSPEA2_DTLZ4_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ4,15,M2,D11,0.0028820035260178132,IVFSPEA2_DTLZ4_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ4,16,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ4,17,M2,D11,0.00340587353933121,IVFSPEA2_DTLZ4_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ4,18,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ4,19,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ4,20,M2,D11,0.004004065065486963,IVFSPEA2_DTLZ4_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ4,21,M2,D11,0.0025251097520946233,IVFSPEA2_DTLZ4_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ4,22,M2,D11,0.0033404633815053092,IVFSPEA2_DTLZ4_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ4,23,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ4,24,M2,D11,0.003075786176674821,IVFSPEA2_DTLZ4_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ4,25,M2,D11,0.003687397421863026,IVFSPEA2_DTLZ4_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ4,26,M2,D11,0.003356346403207124,IVFSPEA2_DTLZ4_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ4,27,M2,D11,0.003115419261782148,IVFSPEA2_DTLZ4_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ4,28,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ4,29,M2,D11,0.0,IVFSPEA2_DTLZ4_M2_D11_29.mat
