Grupo,Algoritmo,Problema,Run,M,D,IGDp,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,43,M2,D11,0.0018330680905529661,IVFSPEA2_DTLZ2_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ2,44,M2,D11,0.001932095593818048,IVFSPEA2_DTLZ2_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ2,45,M2,D11,0.0018628054338375023,IVFSPEA2_DTLZ2_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ2,46,M2,D11,0.001966713848837273,IVFSPEA2_DTLZ2_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ2,47,M2,D11,0.0018857018791776105,IVFSPEA2_DTLZ2_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ2,48,M2,D11,0.00185494467005646,IVFSPEA2_DTLZ2_M2_D11_48.mat
DTLZ,IVFSPEA2,DTLZ2,49,M2,D11,0.0018929130653673844,IVFSPEA2_DTLZ2_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ2,50,M2,D11,0.0018800093198009457,IVFSPEA2_DTLZ2_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ2,51,M2,D11,0.0018972423334275312,IVFSPEA2_DTLZ2_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ2,52,M2,D11,0.0018924864782347442,IVFSPEA2_DTLZ2_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ2,53,M2,D11,0.0018750035800718023,IVFSPEA2_DTLZ2_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ2,54,M2,D11,0.0018391736530519389,IVFSPEA2_DTLZ2_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ2,55,M2,D11,0.0018416919236205935,IVFSPEA2_DTLZ2_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ2,56,M2,D11,0.0018587003315358945,IVFSPEA2_DTLZ2_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ2,57,M2,D11,0.0018146140216827302,IVFSPEA2_DTLZ2_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ2,58,M2,D11,0.001870658447363781,IVFSPEA2_DTLZ2_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ2,59,M2,D11,0.0018471108918826314,IVFSPEA2_DTLZ2_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ2,60,M2,D11,0.0018238563237568102,IVFSPEA2_DTLZ2_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ3,1,M2,D11,0.002996293665313404,IVFSPEA2_DTLZ3_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ3,2,M2,D11,0.0020631164037609893,IVFSPEA2_DTLZ3_M2_D11_2.mat
