Grupo,Problema,Algoritmo,mean,std,min,max
MaF,MaF3_M2,MFOSPEA2,0.004553674782681706,0.0007336062152112502,0.003775135886438558,0.00720387016575561
MaF,MaF3_M2,MOEAD,0.011804014921846849,0.002152685000907165,0.008235827179655514,0.01966272359151625
MaF,MaF3_M2,NSGAII,0.00514040004272194,0.0006815315753780632,0.004429814138040845,0.007275437447847497
MaF,MaF3_M2,NSGAIII,0.006619805164311964,0.0007354767799445104,0.005904630007457648,0.009813526397122675
MaF,MaF3_M2,SPEA2,0.004521669714720646,0.0008612598433343816,0.0037389945100302626,0.009064176898205229
MaF,MaF3_M2,SPEA2SDE,0.008113761593164036,0.0018462917153140724,0.005636692195123364,0.01425907510715278
MaF,MaF3_M3,IVFSPEA2,0.03286332707409146,0.0005952800860079314,0.03172979785307748,0.034975825802376355
MaF,MaF3_M3,MFOSPEA2,0.03357103761405302,0.0010624024881751542,0.03205436089655481,0.03705791628895114
MaF,MaF3_M3,MOEAD,0.05202580771286105,0.0019040349466483049,0.04751312575738829,0.05583934879510697
MaF,MaF3_M3,NSGAII,0.10803323495516663,0.36613149429914105,0.040510385716153265,2.8943903908723914
MaF,MaF3_M3,NSGAIII,0.04718183690457235,0.0007207848857708133,0.04616290126525073,0.049212426365123366
MaF,MaF3_M3,SPEA2,0.03337451862722844,0.0007534967579640866,0.031963575160942746,0.03591665423073443
MaF,MaF3_M3,SPEA2SDE,0.05876090101771776,0.0071610732421212315,0.04425500378500213,0.07566200896636373
MaF,MaF4_M2,IVFSPEA2,0.012737864648550194,0.0002825438995246868,0.012387668611426044,0.013799999172234175
MaF,MaF4_M2,MFOSPEA2,0.012730584974143595,0.0003420434424984339,0.012376034317560647,0.0140036262641611
MaF,MaF4_M2,MOEAD,0.18770486664576846,0.0032716557285548025,0.18226845962683558,0.19979642791323743
MaF,MaF4_M2,NSGAII,0.015575000906598687,0.0008165331050082518,0.014262900534295091,0.018990711398010576
MaF,MaF4_M2,NSGAIII,0.035667546275702254,0.00237453369890204,0.03478154690419318,0.05015220866647039
MaF,MaF4_M2,SPEA2,0.012756414108816607,0.00043413868176119403,0.01233122435941494,0.01529522906063288
MaF,MaF4_M2,SPEA2SDE,0.04408970114452189,0.012560733901726732,0.02642766783417825,0.08375677325653352
MaF,MaF4_M3,IVFSPEA2,0.24014147326281765,0.0030580664770006984,0.23217134094619582,0.2503584535309412
MaF,MaF4_M3,MFOSPEA2,0.24179579323416947,0.003357746733463666,0.23383845854607474,0.25115852842730896
MaF,MaF4_M3,MOEAD,0.6819162348785167,0.031079259026416887,0.604021721657563,0.7593061883635975
MaF,MaF4_M3,NSGAII,0.2963920072620348,0.009410367453170105,0.27523031356976113,0.31726711432335253
MaF,MaF4_M3,NSGAIII,0.34221586750826993,0.021315843710838972,0.3063918649564371,0.4084704102084514
MaF,MaF4_M3,SPEA2,0.24163667386653573,0.003375778165714154,0.23446458367677606,0.2513329717465242
MaF,MaF4_M3,SPEA2SDE,0.48496924669267394,0.0884507064169586,0.3437434225371517,0.7708527684811389
MaF,MaF5_M2,IVFSPEA2,0.8774984895728491,0.9972704684403703,0.012378987619511827,2.0083774473806333
MaF,MaF5_M2,MFOSPEA2,0.21239465449897957,0.6037130275559799,0.012514257104706057,2.008377447880185
MaF,MaF5_M2,MOEAD,0.08011882142269193,0.3610979419246073,0.013102267299464074,2.0083774416392712
MaF,MaF5_M2,NSGAII,0.5802290329177924,0.9055517602201195,0.014685353883863807,2.0083774466131543
MaF,MaF5_M2,NSGAIII,0.21184584133663145,0.603897490597302,0.012230870418004004,2.008377447365019
MaF,MaF5_M2,SPEA2,0.41191413472672267,0.804967919011059,0.012433292359746795,2.00837744407477
MaF,MaF5_M2,SPEA2SDE,0.3942007387562269,0.7712641412657132,0.02522545208031759,2.0083774514757455
MaF,MaF5_M3,IVFSPEA2,1.5179311184431652,1.3392538662545979,0.23886223740949794,4.888495728182718
MaF,MaF5_M3,MFOSPEA2,0.4856053116911199,0.7383739876407266,0.2398639437496465,4.888495738486604
MaF,MaF5_M3,MOEAD,0.6440802814156517,0.9352032555344215,0.2965630593988832,4.888495733472785
MaF,MaF5_M3,NSGAII,0.7594347590037456,1.3880136259566953,0.28021950928756323,4.888495707504067
MaF,MaF5_M3,NSGAIII,0.8535978028387379,1.039513009015373,0.2597292717844956,4.888495732443478
MaF,MaF5_M3,SPEA2,0.7080820840535541,0.8552689372214002,0.23932351101076385,4.888495703894776
MaF,MaF5_M3,SPEA2SDE,0.8316185868719408,0.9779741287593543,0.33189689358655905,4.888495746321005
MaF,MaF6_M2,IVFSPEA2,0.00406405092006646,2.875600866420082e-05,0.004007074911884316,0.004139218720664288
MaF,MaF6_M2,MFOSPEA2,0.004081195862614989,3.276320817540575e-05,0.003999567244221442,0.0041512702349595695
MaF,MaF6_M2,MOEAD,0.003965910741843804,6.1793890718560575e-09,0.003965899261061214,0.003965928626711222
MaF,MaF6_M2,NSGAII,0.0049467737275448185,0.00015192022543892203,0.004572387877924806,0.005327355236024853
MaF,MaF6_M2,NSGAIII,0.003966094047247566,3.558047206943426e-08,0.003966033969655172,0.003966298275221097
MaF,MaF6_M2,SPEA2,0.004087901441222191,3.093756589671737e-05,0.0040272393161166755,0.004152844281034298
MaF,MaF6_M2,SPEA2SDE,0.01004124694675007,0.0010397375331857312,0.007547693434741791,0.012523814954559714
MaF,MaF6_M3,IVFSPEA2,0.004063645971417119,2.9623138862236198e-05,0.004022621098584529,0.004166059301428858
MaF,MaF6_M3,MFOSPEA2,0.0040808865901298804,3.0637220266630136e-05,0.00402022485413806,0.004149767743468411
MaF,MaF6_M3,MOEAD,0.033929207996074774,3.856504386296194e-06,0.03390752396265614,0.03393104433623597
MaF,MaF6_M3,NSGAII,0.005271494065226532,0.0002707959625193966,0.004767297494722385,0.006076371674786091
MaF,MaF6_M3,NSGAIII,0.015221507710836447,0.0017119817688508265,0.011878660507347191,0.019529969044179238
MaF,MaF6_M3,SPEA2,0.004087162537387453,3.440570659882652e-05,0.0040037221697723745,0.0042101115425806895
MaF,MaF6_M3,SPEA2SDE,0.009771510395378073,0.0011112422676232468,0.007905130483939999,0.014213555705517047
