Grupo,Algoritmo,Problema,Run,M,D,runtime,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,27,M3,D12,30.542107000000016,IVFSPEA2_DTLZ2_M3_D12_27.mat
DTLZ,IVFSPEA2,DTLZ2,28,M3,D12,30.413711000000003,IVFSPEA2_DTLZ2_M3_D12_28.mat
DTLZ,IVFSPEA2,DTLZ2,28,M2,D11,12.44278499999999,IVFSPEA2_DTLZ2_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ2,29,M2,D11,12.397389999999994,IVFSPEA2_DTLZ2_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ2,29,M3,D12,30.596983999999964,IVFSPEA2_DTLZ2_M3_D12_29.mat
DTLZ,IVFSPEA2,DTLZ2,30,M3,D12,31.212686999999985,IVFSPEA2_DTLZ2_M3_D12_30.mat
DTLZ,IVFSPEA2,DTLZ2,30,M2,D11,12.72341399999999,IVFSPEA2_DTLZ2_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ2,31,M2,D11,12.865472999999987,IVFSPEA2_DTLZ2_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ2,31,M3,D12,30.201046000000012,IVFSPEA2_DTLZ2_M3_D12_31.mat
DTLZ,IVFSPEA2,DTLZ2,32,M2,D11,12.667692,IVFSPEA2_DTLZ2_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ2,32,M3,D12,29.907396000000006,IVFSPEA2_DTLZ2_M3_D12_32.mat
DTLZ,IVFSPEA2,DTLZ2,33,M3,D12,29.84933100000003,IVFSPEA2_DTLZ2_M3_D12_33.mat
DTLZ,IVFSPEA2,DTLZ2,33,M2,D11,12.568493999999996,IVFSPEA2_DTLZ2_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ2,34,M3,D12,30.548271000000003,IVFSPEA2_DTLZ2_M3_D12_34.mat
DTLZ,IVFSPEA2,DTLZ2,34,M2,D11,12.808097999999978,IVFSPEA2_DTLZ2_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ2,35,M2,D11,12.780389,IVFSPEA2_DTLZ2_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ2,35,M3,D12,30.533677000000043,IVFSPEA2_DTLZ2_M3_D12_35.mat
DTLZ,IVFSPEA2,DTLZ2,36,M3,D12,30.936688,IVFSPEA2_DTLZ2_M3_D12_36.mat
DTLZ,IVFSPEA2,DTLZ2,36,M2,D11,12.897339999999996,IVFSPEA2_DTLZ2_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ2,37,M2,D11,12.735256000000017,IVFSPEA2_DTLZ2_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ2,37,M3,D12,30.00372999999997,IVFSPEA2_DTLZ2_M3_D12_37.mat
DTLZ,IVFSPEA2,DTLZ2,38,M2,D11,12.353429999999987,IVFSPEA2_DTLZ2_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ2,38,M3,D12,30.132735999999984,IVFSPEA2_DTLZ2_M3_D12_38.mat
DTLZ,IVFSPEA2,DTLZ2,39,M2,D11,12.70453199999999,IVFSPEA2_DTLZ2_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ2,39,M3,D12,30.137039999999995,IVFSPEA2_DTLZ2_M3_D12_39.mat
DTLZ,IVFSPEA2,DTLZ2,40,M2,D11,12.612338999999997,IVFSPEA2_DTLZ2_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ2,40,M3,D12,29.797289000000003,IVFSPEA2_DTLZ2_M3_D12_40.mat
DTLZ,IVFSPEA2,DTLZ2,41,M3,D12,29.487897000000007,IVFSPEA2_DTLZ2_M3_D12_41.mat
DTLZ,IVFSPEA2,DTLZ2,41,M2,D11,12.750393999999998,IVFSPEA2_DTLZ2_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ2,42,M2,D11,12.575705000000008,IVFSPEA2_DTLZ2_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ2,42,M3,D12,30.109736999999996,IVFSPEA2_DTLZ2_M3_D12_42.mat
DTLZ,IVFSPEA2,DTLZ2,43,M3,D12,30.467972000000003,IVFSPEA2_DTLZ2_M3_D12_43.mat
DTLZ,IVFSPEA2,DTLZ2,43,M2,D11,12.514932999999983,IVFSPEA2_DTLZ2_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ2,44,M2,D11,12.49239499999998,IVFSPEA2_DTLZ2_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ2,44,M3,D12,30.51201200000003,IVFSPEA2_DTLZ2_M3_D12_44.mat
DTLZ,IVFSPEA2,DTLZ2,45,M2,D11,12.802656999999993,IVFSPEA2_DTLZ2_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ2,45,M3,D12,30.417796999999986,IVFSPEA2_DTLZ2_M3_D12_45.mat
DTLZ,IVFSPEA2,DTLZ2,46,M2,D11,12.75536899999999,IVFSPEA2_DTLZ2_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ2,46,M3,D12,30.42383600000001,IVFSPEA2_DTLZ2_M3_D12_46.mat
DTLZ,IVFSPEA2,DTLZ2,47,M3,D12,30.113261000000023,IVFSPEA2_DTLZ2_M3_D12_47.mat
DTLZ,IVFSPEA2,DTLZ2,47,M2,D11,12.82955500000002,IVFSPEA2_DTLZ2_M2_D11_47.mat
