Grupo,Algoritmo,Problema,Run,M,D,HV,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,40,M2,D11,0.3473987323828639,IVFSPEA2_DTLZ2_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ2,41,M2,D11,0.3473488438513505,IVFSPEA2_DTLZ2_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ2,42,M2,D11,0.34728769781886304,IVFSPEA2_DTLZ2_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ2,43,M2,D11,0.34745916921242354,IVFSPEA2_DTLZ2_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ2,44,M2,D11,0.3472095851515918,IVFSPEA2_DTLZ2_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ2,45,M2,D11,0.34737261639420647,IVFSPEA2_DTLZ2_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ2,46,M2,D11,0.34715021031337995,IVFSPEA2_DTLZ2_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ2,47,M2,D11,0.3473260842338476,IVFSPEA2_DTLZ2_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ2,48,M2,D11,0.34743437190019333,IVFSPEA2_DTLZ2_M2_D11_48.mat
DTLZ,IVFSPEA2,DTLZ2,49,M2,D11,0.3473789665703055,IVFSPEA2_DTLZ2_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ2,50,M2,D11,0.3473540332875183,IVFSPEA2_DTLZ2_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ2,51,M2,D11,0.34735528393450404,IVFSPEA2_DTLZ2_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ2,52,M2,D11,0.3473221739768188,IVFSPEA2_DTLZ2_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ2,53,M2,D11,0.3473475096900969,IVFSPEA2_DTLZ2_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ2,54,M2,D11,0.3474225212780081,IVFSPEA2_DTLZ2_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ2,55,M2,D11,0.347387043992301,IVFSPEA2_DTLZ2_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ2,56,M2,D11,0.34739295601127207,IVFSPEA2_DTLZ2_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ2,57,M2,D11,0.3474890539629638,IVFSPEA2_DTLZ2_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ2,58,M2,D11,0.3473604982751692,IVFSPEA2_DTLZ2_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ2,59,M2,D11,0.34738801530391317,IVFSPEA2_DTLZ2_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ2,60,M2,D11,0.3474486326238212,IVFSPEA2_DTLZ2_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ3,1,M2,D11,0.3455989365313547,IVFSPEA2_DTLZ3_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ3,2,M2,D11,0.3470744405681925,IVFSPEA2_DTLZ3_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ3,3,M2,D11,0.3473108147438859,IVFSPEA2_DTLZ3_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ3,4,M2,D11,0.34498610328298884,IVFSPEA2_DTLZ3_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ3,5,M2,D11,0.34722270630599605,IVFSPEA2_DTLZ3_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ3,6,M2,D11,0.34734471285369395,IVFSPEA2_DTLZ3_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ3,7,M2,D11,0.34668003180314744,IVFSPEA2_DTLZ3_M2_D11_7.mat
