Grupo,Algoritmo,Problema,Run,M,D,arquivo_original,IGD,runtime,HV,Spread,IGDp,Spacing
DTLZ,ARMOEA,DTLZ1,53,M2,D6,ARMOEA_DTLZ1_M2_D6_53.mat,0.0017855513761257,11.268049,0.582591311706059,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,54,M2,D6,ARMOEA_DTLZ1_M2_D6_54.mat,0.00178544862864185,12.127688,0.582601236723138,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,55,M2,D6,ARMOEA_DTLZ1_M2_D6_55.mat,0.00178644138785968,11.825235,0.582581544928482,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,56,M2,D6,ARMOEA_DTLZ1_M2_D6_56.mat,0.00178828125882241,11.970902,0.582489758528064,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,57,M2,D6,ARMOEA_DTLZ1_M2_D6_57.mat,0.00178729224493307,11.594153,0.582508795870945,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,58,M2,D6,ARMOEA_DTLZ1_M2_D6_58.mat,0.00178595438495863,11.778074,0.582565549249759,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,59,M2,D6,ARMOEA_DTLZ1_M2_D6_59.mat,0.00178588658322267,11.648458,0.582565450653624,NaN,NaN,NaN
DTLZ,ARMOEA,DTLZ1,60,M2,D6,ARMOEA_DTLZ1_M2_D6_60.mat,0.00178891671343598,11.997881,0.582454940908636,NaN,NaN,NaN
DTLZ,IVFSPEA2,DTLZ1,1,M2,D6,IVFSPEA2_DTLZ1_M2_D6_1.mat,0.0018224747616421,11.308151,0.582494210429226,0.0854137692390714,0.0012953697273432,0.0010896698977022
DTLZ,IVFSPEA2,DTLZ1,2,M2,D6,IVFSPEA2_DTLZ1_M2_D6_2.mat,0.0018409312451805,11.242003,0.582437840267048,0.12306713567879,0.001312421031336,0.0013702962422663
DTLZ,IVFSPEA2,DTLZ1,3,M2,D6,IVFSPEA2_DTLZ1_M2_D6_3.mat,0.0018166190493869,11.003273,0.582520771203146,0.08504855102816,0.0012873406842821,0.0010231632651026
DTLZ,IVFSPEA2,DTLZ1,4,M2,D6,IVFSPEA2_DTLZ1_M2_D6_4.mat,0.0018583738604778,11.414851,0.582015664016134,0.110179049729253,0.0014411837442894,0.0013077139237157
DTLZ,IVFSPEA2,DTLZ1,5,M2,D6,IVFSPEA2_DTLZ1_M2_D6_5.mat,0.0018308716285258,11.273756,0.582495642268757,0.12316787439046,0.0012949422185792,0.0014269958793571
DTLZ,IVFSPEA2,DTLZ1,6,M2,D6,IVFSPEA2_DTLZ1_M2_D6_6.mat,0.0018438546514665,11.487017,0.582313053803232,0.121260958313413,0.0013502825890245,0.0014479530386949
DTLZ,IVFSPEA2,DTLZ1,7,M2,D6,IVFSPEA2_DTLZ1_M2_D6_7.mat,0.0018106920582545,10.752667,0.582532080057901,0.0845329071964392,0.0012839137535414,0.0010150488911291
