case_id,metric,pairing,test_method,n_ctrl,n_ivf,n_spea2,median_ctrl,iqr_ctrl,median_ivf,iqr_ivf,median_spea2,iqr_spea2,p_ctrl_vs_ivf,p_bh_ctrl_vs_ivf,a12_ctrl_vs_ivf,p_ctrl_vs_spea2,p_bh_ctrl_vs_spea2,a12_ctrl_vs_spea2
dtlz3_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05268926643427344,0.0008639418688343586,0.05268926643427344,0.0008639418688343586,0.053086459163173436,0.00105623103230066,1.0,1.0,0.5,0.008142979815602303,0.013616130183466146,0.32555555555555554
dtlz4_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004120391740544898,8.652092014396675e-05,0.0041048893216249095,6.817728497730997e-05,0.004156378341950297,8.00584692957837e-05,0.04566650486513202,0.16635655343726663,0.5566666666666666,0.06056523136794567,0.08236871466040611,0.3288888888888889
dtlz4_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05355995823274165,0.0006152572008598367,0.05355995823274165,0.0006152572008598367,0.054412070314424146,0.3643637104896175,1.0,1.0,0.5,2.60770320892334e-08,2.659857273101807e-07,0.1
dtlz5_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004129311042093091,7.041441550443943e-05,0.004129311042093091,7.06186183120315e-05,0.004167563129976478,3.896140861283249e-05,0.31731050786291415,0.7552651206767836,0.495,0.0003449581563472748,0.0008796432986855507,0.19555555555555557
dtlz5_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004296240310533911,0.00011650374941548497,0.004296240310533911,0.00011650374941548497,0.00435531276560368,0.0001456454120194635,1.0,1.0,0.5,0.0005548261106014252,0.0012861878018487584,0.25222222222222224
dtlz6_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004084733484018294,3.376299028895642e-05,0.004054689923299672,3.534671109815986e-05,0.00408818816915595,3.743850287476428e-05,0.0001302880642562447,0.00110744854617808,0.8427777777777777,0.7456546742469072,0.7530373937939063,0.48777777777777775
dtlz6_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.00408118371872483,4.6032626203005786e-05,0.0040559686085113525,3.1081658616672996e-05,0.0040902494617720145,3.8886653557565834e-05,0.02923084030737362,0.110427618938967,0.6883333333333334,0.20540969260036945,0.25243118849683954,0.39
dtlz7_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.004713135260978911,9.901367099632383e-05,0.004713135260978911,9.901367099632383e-05,0.004784189895057786,8.51351923241133e-05,1.0,1.0,0.5,0.0004183966666460037,0.0010408892682412776,0.2411111111111111
dtlz7_m3,IGD,paired,wilcoxon_signed_rank,30,30,30,0.05932931132711368,0.0012950772393612031,0.05932931132711368,0.0012950772393612031,0.05981399309642896,0.0022219265526485787,1.0,1.0,0.5,0.4898460879921913,0.5430902279913425,0.4088888888888889
maf1_m2,IGD,paired,wilcoxon_signed_rank,30,30,30,0.003738158406155399,7.959606027369177e-05,0.003738158406155399,7.959606027369177e-05,0.0038096045651704086,5.5640944717386814e-05,1.0,1.0,0.5,2.6885420083999634e-05,9.141042828559875e-05,0.2
