Grupo,Algoritmo,Problema,Run,M,D,IGD,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,18,M2,D11,0.004209800581733771,IVFSPEA2_DTLZ2_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ2,18,M3,D12,0.05393887291261612,IVFSPEA2_DTLZ2_M3_D12_18.mat
DTLZ,IVFSPEA2,DTLZ2,19,M2,D11,0.004102994164581256,IVFSPEA2_DTLZ2_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ2,19,M3,D12,0.05377835820434557,IVFSPEA2_DTLZ2_M3_D12_19.mat
DTLZ,IVFSPEA2,DTLZ2,20,M3,D12,0.0535809066249183,IVFSPEA2_DTLZ2_M3_D12_20.mat
DTLZ,IVFSPEA2,DTLZ2,20,M2,D11,0.004100831927522728,IVFSPEA2_DTLZ2_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ2,21,M2,D11,0.00411930661237236,IVFSPEA2_DTLZ2_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ2,21,M3,D12,0.05405785073149826,IVFSPEA2_DTLZ2_M3_D12_21.mat
DTLZ,IVFSPEA2,DTLZ2,22,M3,D12,0.05414702198826435,IVFSPEA2_DTLZ2_M3_D12_22.mat
DTLZ,IVFSPEA2,DTLZ2,22,M2,D11,0.004089550987241872,IVFSPEA2_DTLZ2_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ2,23,M3,D12,0.05410232098607792,IVFSPEA2_DTLZ2_M3_D12_23.mat
DTLZ,IVFSPEA2,DTLZ2,23,M2,D11,0.004137227494423185,IVFSPEA2_DTLZ2_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ2,24,M3,D12,0.05359156510764517,IVFSPEA2_DTLZ2_M3_D12_24.mat
DTLZ,IVFSPEA2,DTLZ2,24,M2,D11,0.004153196687957014,IVFSPEA2_DTLZ2_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ2,25,M2,D11,0.004145046555392756,IVFSPEA2_DTLZ2_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ2,25,M3,D12,0.05446336659804417,IVFSPEA2_DTLZ2_M3_D12_25.mat
DTLZ,IVFSPEA2,DTLZ2,26,M2,D11,0.004193512809125568,IVFSPEA2_DTLZ2_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ2,26,M3,D12,0.054244579817317465,IVFSPEA2_DTLZ2_M3_D12_26.mat
DTLZ,IVFSPEA2,DTLZ2,27,M2,D11,0.004172108153376559,IVFSPEA2_DTLZ2_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ2,27,M3,D12,0.05399064987337415,IVFSPEA2_DTLZ2_M3_D12_27.mat
DTLZ,IVFSPEA2,DTLZ2,28,M3,D12,0.05410087835080568,IVFSPEA2_DTLZ2_M3_D12_28.mat
DTLZ,IVFSPEA2,DTLZ2,28,M2,D11,0.004205926093366366,IVFSPEA2_DTLZ2_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ2,29,M2,D11,0.004214371749763547,IVFSPEA2_DTLZ2_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ2,29,M3,D12,0.05320937440583102,IVFSPEA2_DTLZ2_M3_D12_29.mat
DTLZ,IVFSPEA2,DTLZ2,30,M3,D12,0.05396537811540989,IVFSPEA2_DTLZ2_M3_D12_30.mat
DTLZ,IVFSPEA2,DTLZ2,30,M2,D11,0.004120122333199993,IVFSPEA2_DTLZ2_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ2,31,M2,D11,0.00410588449329367,IVFSPEA2_DTLZ2_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ2,31,M3,D12,0.05386251542654969,IVFSPEA2_DTLZ2_M3_D12_31.mat
DTLZ,IVFSPEA2,DTLZ2,32,M2,D11,0.00414025964075198,IVFSPEA2_DTLZ2_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ2,32,M3,D12,0.05518410425501255,IVFSPEA2_DTLZ2_M3_D12_32.mat
DTLZ,IVFSPEA2,DTLZ2,33,M3,D12,0.05356459062577212,IVFSPEA2_DTLZ2_M3_D12_33.mat
DTLZ,IVFSPEA2,DTLZ2,33,M2,D11,0.00412505860137355,IVFSPEA2_DTLZ2_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ2,34,M3,D12,0.05454431974212724,IVFSPEA2_DTLZ2_M3_D12_34.mat
DTLZ,IVFSPEA2,DTLZ2,34,M2,D11,0.004145843782093386,IVFSPEA2_DTLZ2_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ2,35,M2,D11,0.004100438249753135,IVFSPEA2_DTLZ2_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ2,35,M3,D12,0.054235046889945376,IVFSPEA2_DTLZ2_M3_D12_35.mat
DTLZ,IVFSPEA2,DTLZ2,36,M3,D12,0.05303239772205997,IVFSPEA2_DTLZ2_M3_D12_36.mat
DTLZ,IVFSPEA2,DTLZ2,36,M2,D11,0.004055592750809589,IVFSPEA2_DTLZ2_M2_D11_36.mat
