Grupo,Algoritmo,Problema,Run,M,D,Spread,arquivo_original
DTLZ,IVFSPEA2,DTLZ2,29,M2,D11,0.1341336648015022,IVFSPEA2_DTLZ2_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ2,30,M2,D11,0.10161848118906562,IVFSPEA2_DTLZ2_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ2,31,M2,D11,0.0897352448176674,IVFSPEA2_DTLZ2_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ2,32,M2,D11,0.12236326984430224,IVFSPEA2_DTLZ2_M2_D11_32.mat
DTLZ,IVFSPEA2,DTLZ2,33,M2,D11,0.11035367967555619,IVFSPEA2_DTLZ2_M2_D11_33.mat
DTLZ,IVFSPEA2,DTLZ2,34,M2,D11,0.11082829519968301,IVFSPEA2_DTLZ2_M2_D11_34.mat
DTLZ,IVFSPEA2,DTLZ2,35,M2,D11,0.1095473148026978,IVFSPEA2_DTLZ2_M2_D11_35.mat
DTLZ,IVFSPEA2,DTLZ2,36,M2,D11,0.08703696215040867,IVFSPEA2_DTLZ2_M2_D11_36.mat
DTLZ,IVFSPEA2,DTLZ2,37,M2,D11,0.12054852397034076,IVFSPEA2_DTLZ2_M2_D11_37.mat
DTLZ,IVFSPEA2,DTLZ2,38,M2,D11,0.11465607650298672,IVFSPEA2_DTLZ2_M2_D11_38.mat
DTLZ,IVFSPEA2,DTLZ2,39,M2,D11,0.10237601887406839,IVFSPEA2_DTLZ2_M2_D11_39.mat
DTLZ,IVFSPEA2,DTLZ2,40,M2,D11,0.10417438097142889,IVFSPEA2_DTLZ2_M2_D11_40.mat
DTLZ,IVFSPEA2,DTLZ2,41,M2,D11,0.1296206065992891,IVFSPEA2_DTLZ2_M2_D11_41.mat
DTLZ,IVFSPEA2,DTLZ2,42,M2,D11,0.11929037551599854,IVFSPEA2_DTLZ2_M2_D11_42.mat
DTLZ,IVFSPEA2,DTLZ2,43,M2,D11,0.10496794592782493,IVFSPEA2_DTLZ2_M2_D11_43.mat
DTLZ,IVFSPEA2,DTLZ2,44,M2,D11,0.1326348699253352,IVFSPEA2_DTLZ2_M2_D11_44.mat
DTLZ,IVFSPEA2,DTLZ2,45,M2,D11,0.14120188601998046,IVFSPEA2_DTLZ2_M2_D11_45.mat
DTLZ,IVFSPEA2,DTLZ2,46,M2,D11,0.13205977890845585,IVFSPEA2_DTLZ2_M2_D11_46.mat
DTLZ,IVFSPEA2,DTLZ2,47,M2,D11,0.11866179091652787,IVFSPEA2_DTLZ2_M2_D11_47.mat
DTLZ,IVFSPEA2,DTLZ2,48,M2,D11,0.12311431986129283,IVFSPEA2_DTLZ2_M2_D11_48.mat
DTLZ,IVFSPEA2,DTLZ2,49,M2,D11,0.1146462385186071,IVFSPEA2_DTLZ2_M2_D11_49.mat
DTLZ,IVFSPEA2,DTLZ2,50,M2,D11,0.13612412150623665,IVFSPEA2_DTLZ2_M2_D11_50.mat
DTLZ,IVFSPEA2,DTLZ2,51,M2,D11,0.11760504290287234,IVFSPEA2_DTLZ2_M2_D11_51.mat
DTLZ,IVFSPEA2,DTLZ2,52,M2,D11,0.11081974730685634,IVFSPEA2_DTLZ2_M2_D11_52.mat
DTLZ,IVFSPEA2,DTLZ2,53,M2,D11,0.13101064611004046,IVFSPEA2_DTLZ2_M2_D11_53.mat
DTLZ,IVFSPEA2,DTLZ2,54,M2,D11,0.13288630505253446,IVFSPEA2_DTLZ2_M2_D11_54.mat
DTLZ,IVFSPEA2,DTLZ2,55,M2,D11,0.12578097015158649,IVFSPEA2_DTLZ2_M2_D11_55.mat
DTLZ,IVFSPEA2,DTLZ2,56,M2,D11,0.12788288296696768,IVFSPEA2_DTLZ2_M2_D11_56.mat
DTLZ,IVFSPEA2,DTLZ2,57,M2,D11,0.12332635003601028,IVFSPEA2_DTLZ2_M2_D11_57.mat
DTLZ,IVFSPEA2,DTLZ2,58,M2,D11,0.12313336110160175,IVFSPEA2_DTLZ2_M2_D11_58.mat
DTLZ,IVFSPEA2,DTLZ2,59,M2,D11,0.12085303627402921,IVFSPEA2_DTLZ2_M2_D11_59.mat
DTLZ,IVFSPEA2,DTLZ2,60,M2,D11,0.1106895450030561,IVFSPEA2_DTLZ2_M2_D11_60.mat
DTLZ,IVFSPEA2,DTLZ3,1,M2,D11,0.09067295917316236,IVFSPEA2_DTLZ3_M2_D11_1.mat
DTLZ,IVFSPEA2,DTLZ3,2,M2,D11,0.11353637039312682,IVFSPEA2_DTLZ3_M2_D11_2.mat
DTLZ,IVFSPEA2,DTLZ3,3,M2,D11,0.11093500251350034,IVFSPEA2_DTLZ3_M2_D11_3.mat
DTLZ,IVFSPEA2,DTLZ3,4,M2,D11,0.09072150750660378,IVFSPEA2_DTLZ3_M2_D11_4.mat
DTLZ,IVFSPEA2,DTLZ3,5,M2,D11,0.09085927146838764,IVFSPEA2_DTLZ3_M2_D11_5.mat
DTLZ,IVFSPEA2,DTLZ3,6,M2,D11,0.08370380142307421,IVFSPEA2_DTLZ3_M2_D11_6.mat
DTLZ,IVFSPEA2,DTLZ3,7,M2,D11,0.09510092587076692,IVFSPEA2_DTLZ3_M2_D11_7.mat
DTLZ,IVFSPEA2,DTLZ3,8,M2,D11,0.1243258387039945,IVFSPEA2_DTLZ3_M2_D11_8.mat
DTLZ,IVFSPEA2,DTLZ3,9,M2,D11,0.11403491243483463,IVFSPEA2_DTLZ3_M2_D11_9.mat
DTLZ,IVFSPEA2,DTLZ3,10,M2,D11,0.09940623592934274,IVFSPEA2_DTLZ3_M2_D11_10.mat
DTLZ,IVFSPEA2,DTLZ3,11,M2,D11,0.0881544414918669,IVFSPEA2_DTLZ3_M2_D11_11.mat
DTLZ,IVFSPEA2,DTLZ3,12,M2,D11,0.0874277188068861,IVFSPEA2_DTLZ3_M2_D11_12.mat
DTLZ,IVFSPEA2,DTLZ3,13,M2,D11,0.10202419670881965,IVFSPEA2_DTLZ3_M2_D11_13.mat
DTLZ,IVFSPEA2,DTLZ3,14,M2,D11,0.10940882987465486,IVFSPEA2_DTLZ3_M2_D11_14.mat
DTLZ,IVFSPEA2,DTLZ3,15,M2,D11,0.08219276334696446,IVFSPEA2_DTLZ3_M2_D11_15.mat
DTLZ,IVFSPEA2,DTLZ3,16,M2,D11,0.09371128643322359,IVFSPEA2_DTLZ3_M2_D11_16.mat
DTLZ,IVFSPEA2,DTLZ3,17,M2,D11,0.10143958867837571,IVFSPEA2_DTLZ3_M2_D11_17.mat
DTLZ,IVFSPEA2,DTLZ3,18,M2,D11,0.11553043594655804,IVFSPEA2_DTLZ3_M2_D11_18.mat
DTLZ,IVFSPEA2,DTLZ3,19,M2,D11,0.1281827133490368,IVFSPEA2_DTLZ3_M2_D11_19.mat
DTLZ,IVFSPEA2,DTLZ3,20,M2,D11,0.0813376852438618,IVFSPEA2_DTLZ3_M2_D11_20.mat
DTLZ,IVFSPEA2,DTLZ3,21,M2,D11,0.11141287469779952,IVFSPEA2_DTLZ3_M2_D11_21.mat
DTLZ,IVFSPEA2,DTLZ3,22,M2,D11,0.11299486918744577,IVFSPEA2_DTLZ3_M2_D11_22.mat
DTLZ,IVFSPEA2,DTLZ3,23,M2,D11,0.10505320394136625,IVFSPEA2_DTLZ3_M2_D11_23.mat
DTLZ,IVFSPEA2,DTLZ3,24,M2,D11,0.10102975526849611,IVFSPEA2_DTLZ3_M2_D11_24.mat
DTLZ,IVFSPEA2,DTLZ3,25,M2,D11,0.0913997680037016,IVFSPEA2_DTLZ3_M2_D11_25.mat
DTLZ,IVFSPEA2,DTLZ3,26,M2,D11,0.09861551785176582,IVFSPEA2_DTLZ3_M2_D11_26.mat
DTLZ,IVFSPEA2,DTLZ3,27,M2,D11,0.1381127001274534,IVFSPEA2_DTLZ3_M2_D11_27.mat
DTLZ,IVFSPEA2,DTLZ3,28,M2,D11,0.11131334422666067,IVFSPEA2_DTLZ3_M2_D11_28.mat
DTLZ,IVFSPEA2,DTLZ3,29,M2,D11,0.09479482106858601,IVFSPEA2_DTLZ3_M2_D11_29.mat
DTLZ,IVFSPEA2,DTLZ3,30,M2,D11,0.08848874749536303,IVFSPEA2_DTLZ3_M2_D11_30.mat
DTLZ,IVFSPEA2,DTLZ3,31,M2,D11,0.07263295382608616,IVFSPEA2_DTLZ3_M2_D11_31.mat
DTLZ,IVFSPEA2,DTLZ3,32,M2,D11,0.10209811758265927,IVFSPEA2_DTLZ3_M2_D11_32.mat
