case_id,problem,m,d,family,early_frac,label_binary,n_runs,ivf_turnover_early,spea2_turnover_early,label_binary_eval
dtlz7_m3,DTLZ7,3,22,DTLZ,0.1,HELPS,30,0.3802525252525253,0.37656565656565655,HELPS
dtlz7_m3,DTLZ7,3,22,DTLZ,0.15,HELPS,30,0.3366778523489933,0.33986577181208055,HELPS
dtlz7_m3,DTLZ7,3,22,DTLZ,0.2,HELPS,30,0.31027638190954776,0.3170100502512563,HELPS
dtlz7_m3,DTLZ7,3,22,DTLZ,0.25,HELPS,30,0.293433734939759,0.30301204819277106,HELPS
dtlz7_m3,DTLZ7,3,22,DTLZ,0.3,HELPS,30,0.2820903010033444,0.29336120401337795,HELPS
wfg1_m3,WFG1,3,12,WFG,0.05,NOT_HELPS,30,0.3633673469387755,0.36867346938775514,NOT_HELPS
wfg1_m3,WFG1,3,12,WFG,0.1,NOT_HELPS,30,0.283939393939394,0.30393939393939395,NOT_HELPS
wfg1_m3,WFG1,3,12,WFG,0.15,NOT_HELPS,30,0.2411744966442953,0.26036912751677854,NOT_HELPS
wfg1_m3,WFG1,3,12,WFG,0.2,NOT_HELPS,30,0.2063316582914573,0.23304020100502515,NOT_HELPS
wfg1_m3,WFG1,3,12,WFG,0.25,NOT_HELPS,30,0.18202811244979922,0.21138554216867472,NOT_HELPS
wfg1_m3,WFG1,3,12,WFG,0.3,NOT_HELPS,30,0.16563545150501674,0.19369565217391302,NOT_HELPS
wfg2_m3,WFG2,3,12,WFG,0.05,NOT_HELPS,30,0.3103061224489796,0.32142857142857145,NOT_HELPS
wfg2_m3,WFG2,3,12,WFG,0.1,NOT_HELPS,30,0.2576767676767677,0.2692424242424243,NOT_HELPS
wfg2_m3,WFG2,3,12,WFG,0.15,NOT_HELPS,30,0.23526845637583893,0.24567114093959733,NOT_HELPS
wfg2_m3,WFG2,3,12,WFG,0.2,NOT_HELPS,30,0.2218844221105528,0.23155778894472365,NOT_HELPS
wfg2_m3,WFG2,3,12,WFG,0.25,NOT_HELPS,30,0.211285140562249,0.22253012048192772,NOT_HELPS
wfg2_m3,WFG2,3,12,WFG,0.3,NOT_HELPS,30,0.20550167224080265,0.2167725752508361,NOT_HELPS
wfg3_m3,WFG3,3,12,WFG,0.05,HELPS,30,0.2606122448979592,0.27418367346938777,HELPS
wfg3_m3,WFG3,3,12,WFG,0.1,HELPS,30,0.2320707070707071,0.25095959595959594,HELPS
wfg3_m3,WFG3,3,12,WFG,0.15,HELPS,30,0.22053691275167786,0.2405704697986577,HELPS
wfg3_m3,WFG3,3,12,WFG,0.2,HELPS,30,0.21402010050251252,0.2347989949748744,HELPS
wfg3_m3,WFG3,3,12,WFG,0.25,HELPS,30,0.20937751004016064,0.23178714859437752,HELPS
wfg3_m3,WFG3,3,12,WFG,0.3,HELPS,30,0.20608695652173914,0.23043478260869565,HELPS
wfg4_m3,WFG4,3,12,WFG,0.05,HELPS,30,0.2702040816326531,0.2916326530612245,HELPS
wfg4_m3,WFG4,3,12,WFG,0.1,HELPS,30,0.2391919191919192,0.2608080808080808,HELPS
wfg4_m3,WFG4,3,12,WFG,0.15,HELPS,30,0.22624161073825505,0.2493959731543624,HELPS
wfg4_m3,WFG4,3,12,WFG,0.2,HELPS,30,0.22045226130653267,0.2431155778894472,HELPS
wfg4_m3,WFG4,3,12,WFG,0.25,HELPS,30,0.216004016064257,0.2388955823293173,HELPS
wfg4_m3,WFG4,3,12,WFG,0.3,HELPS,30,0.21339464882943143,0.2356521739130435,HELPS
wfg5_m3,WFG5,3,12,WFG,0.05,HELPS,30,0.30744897959183676,0.32234693877551024,HELPS
