problem,m,ivf_median_igd,spea2_median_igd,ivf_median_hv,spea2_median_hv,delta_median_igd,delta_median_hv,a12_igd_ivf_better,a12_hv_ivf_better,ivf_q1_igd,ivf_q3_igd,spea2_q1_igd,spea2_q3_igd,ivf_iqr_igd,positive_rank,negative_rank,bimodal_rank
WFG2,2,0.0113765891255928,0.0110770246152068,0.6324550480239455,0.633176855983451,-0.0002995645103859995,-0.0007218079595054938,0.2338888888888889,0.1275,0.0110701832812572,0.011719545692926775,0.010958417560314276,0.011204655842625276,0.000649362411669574,47.0,5.0,22.0
WFG2,3,0.18177181864561148,0.1726091068363835,0.9289398974405805,0.9304412996350679,-0.00916271180922798,-0.0015014021944874667,0.10111111111111111,0.21777777777777776,0.17802294449676026,0.18568990380281025,0.168938290604603,0.1746102150104965,0.007666959306049992,51.0,1.0,7.0
WFG3,2,0.01230257049461315,0.01203636143409715,0.581026566234493,0.5817211919712375,-0.0002662090605160001,-0.000694625736744503,0.29583333333333334,0.15722222222222224,0.012026977172446975,0.0126452281447133,0.011915444075113975,0.012200005835156975,0.0006182509722663255,46.0,6.0,23.0
WFG3,3,0.0874574087787776,0.09621225998485865,0.39581078182158147,0.38912865746416503,0.008754851206081049,0.006682124357416441,0.7888888888888889,0.9275,0.08326456520836628,0.09365323735935235,0.09195447824408323,0.10183713750311825,0.010388672150986072,1.0,51.0,6.0
WFG4,2,0.0126262036669837,0.01289092475863135,0.347297278635409,0.3471097303850065,0.0002647210916476503,0.00018754825040251388,0.8316666666666667,0.8325,0.012527897593479225,0.0127629394971005,0.012740346784876976,0.013048744307206801,0.0002350419036212751,21.0,31.0,28.0
WFG4,3,0.21242828158598898,0.2151413485085325,0.5510334848235675,0.5432103744836194,0.0027130669225435278,0.007823110339948092,0.8072222222222222,0.9980555555555556,0.21090594801904577,0.21412519127798774,0.2137806087373915,0.2166926809857695,0.0032192432589419617,5.0,47.0,14.0
WFG5,2,0.06347150407651089,0.0636528201456833,0.3135659338418305,0.313452315289801,0.00018131606917240473,0.00011361855202951521,0.8894444444444445,0.8361111111111111,0.06342017895935666,0.06352644215181841,0.0635912919960578,0.06372325266992465,0.0001062631924617502,24.0,28.0,35.0
WFG5,3,0.220575257119681,0.22277862221648748,0.516391518706142,0.5139178628566865,0.0022033650968064644,0.0024736558494554695,0.8441666666666666,0.9216666666666666,0.21962077778806774,0.221354225686425,0.2217020839085935,0.2241037525412635,0.0017334478983572488,7.0,45.0,16.0
WFG6,2,0.0831309028729597,0.0763566150933066,0.302691411403897,0.3064870034263415,-0.006774287779653096,-0.003795592022444505,0.4230555555555556,0.4230555555555556,0.06563328323008111,0.10196718048870501,0.060164152059023125,0.08957223921874144,0.036333897258623904,50.0,2.0,3.0
WFG6,3,0.2383239500970875,0.23898646576648952,0.4990291296720945,0.49869327966191246,0.0006625156694020085,0.0003358500101820483,0.5327777777777778,0.4822222222222222,0.2309038297870565,0.24657394157197451,0.23326370661603574,0.24692874793180075,0.015670111784918006,12.0,40.0,4.0
WFG7,2,0.013183301150508201,0.0137131375253036,0.34665966781781754,0.3462201542351035,0.0005298363747953984,0.00043951358271404617,0.8869444444444444,0.9025,0.0130881242013323,0.0133692481682894,0.013513060809629125,0.013979238245007176,0.00028112396695710064,16.0,36.0,27.0
WFG7,3,0.2141652516164905,0.217447149359005,0.5488889153960861,0.5432260192143565,0.0032818977425145,0.005662896181729549,0.7555555555555555,0.9755555555555555,0.21234791467384123,0.21657266645067977,0.21478556052083875,0.21888372400530248,0.004224751776838537,4.0,48.0,10.0
WFG8,2,0.107386119374159,0.107477321109394,0.290047695316323,0.2899841049290185,9.120173523499697e-05,6.359038730452404e-05,0.5019444444444444,0.5144444444444445,0.10597526830231076,0.10825359980377525,0.1060961961983945,0.10803751530482325,0.0022783315014644895,28.0,24.0,15.0
WFG8,3,0.293324288578828,0.29533250703831704,0.462359355517,0.4592711039806905,0.002008218459489064,0.0030882515363095386,0.6330555555555556,0.7788888888888889,0.29013425693749,0.29617087163885847,0.29159141805926503,0.29843920965521575,0.006036614701368459,8.0,44.0,8.0
WFG9,2,0.0169391394263292,0.015918867012147703,0.3418833889563915,0.343014686115911,-0.0010202724141814973,-0.0011312971595195398,0.34444444444444444,0.3186111111111111,0.015480843077274525,0.019058472051485326,0.015409848893941626,0.016797709738859527,0.0035776289742108017,49.0,3.0,12.0
WFG9,3,0.210127042119278,0.21669015655860152,0.5350352986286355,0.51438405113702,0.006563114439323531,0.02065124749161551,0.8705555555555555,0.9419444444444445,0.2081296066699545,0.21221581415247676,0.21427797728768125,0.21920031245904426,0.004086207482522253,3.0,49.0,11.0
ZDT1,2,0.0038799710958828497,0.0039724770508656,0.7204180977013259,0.7202911439416875,9.250595498275054e-05,0.00012695375963844846,0.7480555555555556,0.7841666666666667,0.003846609732423525,0.003931717663452775,0.00391500898264155,0.0040241455134845255,8.510793102924985e-05,27.0,25.0,36.0
ZDT2,2,0.0038875277130227,0.003913216408325,0.4450228696866305,0.4449575884289415,2.5688695302300384e-05,6.528125768900939e-05,0.6947222222222222,0.7238888888888889,0.00385295941589055,0.003910361998848999,0.003882828019749875,0.0039478210977224,5.740258295844954e-05,43.0,9.0,40.0
ZDT3,2,0.00484118787269235,0.0049225086321233,0.5996815797381575,0.5996167522761605,8.132075943094973e-05,6.482746199698575e-05,0.6958333333333333,0.7711111111111111,0.004774350787093525,0.00488907023039875,0.0048265609602097,0.0050015798615028,0.0001147194433052251,29.0,23.0,34.0
ZDT4,2,0.003811880264409,0.00386323700889605,0.7205875032080515,0.7203773790725575,5.135674448704993e-05,0.00021012413549403863,0.8147222222222222,0.9930555555555556,0.0037958974877497498,0.0038309025374652,0.00383508949475905,0.003880504939941525,3.500504971545035e-05,36.0,16.0,47.0
ZDT6,2,0.0030593912328218,0.00309512631937595,0.3889294785963745,0.388905803494204,3.573508655414998e-05,2.3675102170495066e-05,0.8780555555555556,0.9044444444444445,0.003047039107949175,0.00307532984064235,0.0030811923981343,0.0031079622564564747,2.8290732693175055e-05,40.0,12.0,49.0
